Detach Points (Label 1):
x: 0.01092411162306635, y: 0.0006937160000000004
x: 0.01181236308103572, y: 0.0006923140000000001
x: 0.01566378867853221, y: 0.0006899580000000001
x: 0.02550204837515333, y: 0.0006855720000000008
x: 0.010167648822982801, y: 0.0006822180000000009
x: 0.14225100314925868, y: 0.0006772850000000008
x: 0.024258482003670794, y: 0.000675033000000001
x: 0.023485199618964375, y: 0.000668906000000001
x: 0.025414891762489886, y: 0.0006622390000000009
x: 0.03231385172327306, y: 0.0006543690000000003
x: 0.0028611740976314925, y: 0.0007132910000000003
x: 0.002989554459503749, y: 0.0007205540000000007
x: 0.005210441113725151, y: 0.0007181120000000006
x: 0.003149325622743072, y: 0.0007155180000000004
x: 0.0036281778769077767, y: 0.0007160190000000007
x: 0.003440491754885924, y: 0.0007155830000000008
x: 0.0036400929498229618, y: 0.000716669
x: 0.003809053479699734, y: 0.0007169910000000012
x: 0.003955932325730102, y: 0.0007173900000000005
x: 0.0040061485378466485, y: 0.000723600000000001
x: 0.00374803370086707, y: 0.0007449820000000007
x: 0.0030993737303339993, y: 0.0007479020000000011
x: 0.004231764863106339, y: 0.0007458270000000011
x: 0.0035737540897555755, y: 0.0007461430000000011
x: 0.004582060316274273, y: 0.0007462830000000005
x: 0.0037555833009841836, y: 0.0007461100000000007
x: 0.004453454575552738, y: 0.0007465770000000008
x: 0.003373119705026122, y: 0.0007473830000000009
x: 0.0057498939927487745, y: 0.0007496000000000012
x: 0.003737422536642214, y: 0.0007451070000000008
x: 0.0023863006014710696, y: 0.00024726200000000026
x: 0.001951968408823461, y: 0.00025521200000000016
x: 0.0021856260701231408, y: 0.0002555810000000001
x: 0.0021992430355630963, y: 0.00025267700000000025
x: 0.0024042855507192032, y: 0.0002464020000000001
x: 0.002581343001229674, y: 0.00024376300000000027
x: 0.0021205405363502084, y: 0.0002491240000000001
x: 0.00251228456873411, y: 0.00024251900000000015
x: 0.002404130175082617, y: 0.0002403400000000006
x: 0.002551704543073698, y: 0.0002396350000000005
x: 0.0008447211234304205, y: 0.0005440330000000004
x: 0.0008791792818057452, y: 0.000537135
x: 0.000884871093419007, y: 0.0005314250000000004
x: 0.0009643148699992411, y: 0.0005252250000000008
x: 0.0009951825968860489, y: 0.0005190330000000008
x: 0.0010101444864050418, y: 0.0005130280000000006
x: 0.0010268868722356924, y: 0.0005064790000000008
x: 0.0010411577605866605, y: 0.0005014420000000008
x: 0.0010776558992366143, y: 0.000496857
x: 0.00110625273343285, y: 0.0004939540000000008
x: 0.001457685342964865, y: 0.0005369760000000005
x: 0.0014273965367834153, y: 0.0005292480000000007
x: 0.0013990948090637043, y: 0.0005202220000000007
x: 0.0015092526516018463, y: 0.0005123330000000004
x: 0.001532081255824502, y: 0.0005065290000000002
x: 0.001610472166594268, y: 0.0005026530000000008
x: 0.001669449888905691, y: 0.0004998170000000005
x: 0.0017605231188132246, y: 0.0004977130000000001
x: 0.0017828712385916106, y: 0.0004965790000000009
x: 0.0019140135093395462, y: 0.0004959590000000002
x: 0.0007887187805700891, y: 1.0772200000000003e-05
x: 0.00046361486199048783, y: 9.503240000000012e-06
x: 0.0006137684407719388, y: 1.077900000000002e-05
x: 0.0006518662658515481, y: 1.2048100000000008e-05
x: 0.0006700959046932198, y: 1.4132600000000011e-05
x: 0.0006501763121467247, y: 1.4419700000000034e-05
x: 0.0006859057694637377, y: 1.5500300000000025e-05
x: 0.0006785971037422749, y: 1.5461900000000015e-05
x: 0.0007138421210535236, y: 1.5711000000000006e-05
x: 0.0007137322201735877, y: 1.6607700000000004e-05
x: 0.0006049199651446425, y: 0.0005898520000000006
x: 0.0006004944888318301, y: 0.0006019010000000006
x: 0.000582555410725241, y: 0.0006125310000000008
x: 0.0006543685442285146, y: 0.0005952070000000009
x: 0.0006104504349199965, y: 0.0006032790000000009
x: 0.0006401350015491263, y: 0.0006035440000000008
x: 0.0006575230729796101, y: 0.0005967010000000008
x: 0.0006717144439480531, y: 0.0005883450000000008
x: 0.0006980294445133205, y: 0.0005949990000000008
x: 0.0005940872952327614, y: 0.00048441000000000055
x: 0.000661908024416852, y: 0.0004869540000000005
x: 0.0006765153844106177, y: 0.00047861900000000093
x: 0.0006618885062409677, y: 0.0004752690000000006
x: 0.0007681931217962989, y: 0.0004689790000000004
x: 0.0006503856225423497, y: 0.00046477000000000096
x: 0.0007305394059761809, y: 0.0004549090000000005
x: 0.0007978631226100675, y: 0.0004490730000000003
x: 0.00072516281375917, y: 0.0004462890000000007
x: 0.0007786024550076137, y: 0.0004415940000000005
x: 0.0004902172016220022, y: 0.0004945230000000006
x: 0.0004811201673247777, y: 0.0004968660000000002
x: 0.000577508912162311, y: 0.0004873420000000006
x: 0.0006005094097086702, y: 0.0004930660000000006
x: 0.0005412317767673971, y: 0.0004984140000000005
x: 0.0005688480582313078, y: 0.0004886200000000008
x: 0.0006112136300609643, y: 0.0004937240000000005
x: 0.0006206288025804468, y: 0.0004935550000000008
x: 0.0006852698031096867, y: 0.00048216800000000075
x: 0.005180809149148596, y: 0.00012167199999999996
x: 0.00571717139206641, y: 8.888590000000024e-05
x: 0.008283555200443493, y: 8.380320000000026e-05
x: 0.01024906560793025, y: 3.116670000000004e-05
x: 0.007925067191138582, y: 3.30285e-05
x: 0.009044522386497363, y: 4.011660000000004e-05
x: 0.008746224106834118, y: 4.4687199999999995e-05
x: 0.008056933830538415, y: 4.940020000000002e-05
x: 0.011872992880811976, y: 5.195830000000002e-05
x: 0.008196486306224694, y: 5.587910000000004e-05
x: 0.0, y: 0.00042983400000000047
x: 0.0, y: 0.0004232460000000005
x: 0.0, y: 0.0004307530000000007
x: 0.0, y: 0.0004220430000000004
x: 0.0, y: 0.0004203720000000004
x: 0.0, y: 0.0004191850000000005
x: 0.0, y: 0.0004210710000000011
x: 0.0, y: 0.0004186920000000005
x: 0.0, y: 0.00042215400000000076
x: 0.0, y: 0.0004164440000000007
x: 0.0, y: 0.00041069300000000017
x: 0.0, y: 0.00041902000000000063
x: 0.0, y: 0.00041658300000000064
x: 0.0, y: 0.00042156300000000067
x: 0.0, y: 0.00042060500000000044
x: 0.0, y: 0.00042077300000000037
x: 0.0, y: 0.0004183580000000005
x: 0.0, y: 0.00041705900000000044
x: 0.0, y: 0.0004164960000000004
x: 0.0, y: 0.0004127240000000005
x: 0.001649730045667462, y: 0.00022757900000000002
x: 0.0018162091744608519, y: 0.00024540000000000016
x: 0.0017004444956216786, y: 0.00025327300000000015
x: 0.0015815662413849326, y: 0.0002617140000000003
x: 0.001723733656430178, y: 0.000240065
x: 0.0016959578328505356, y: 0.00024177900000000072
x: 0.0016468268813554742, y: 0.00024276299999999995
x: 0.0016992932849201569, y: 0.0002346730000000001
x: 0.0017394295763479232, y: 0.00023701100000000054
x: 0.0017951362886570092, y: 0.00022824500000000018
x: 0.0006994227318134771, y: 0.0006525630000000006
x: 0.0012096889837202218, y: 0.0006242730000000009
x: 0.0014726296454047505, y: 0.0006444710000000006
x: 0.0014779341221812432, y: 0.0006587350000000004
x: 0.0013633274602944869, y: 0.0006625030000000011
x: 0.0014657341615906217, y: 0.0006617200000000007
x: 0.0011362662753556668, y: 0.0006471290000000006
x: 0.001222092759386081, y: 0.0006326890000000011
x: 0.0014851778528158612, y: 0.0006368490000000004
x: 0.0014844028929105655, y: 0.0006359230000000009
x: 0.0016392510971165934, y: 0.0002446539999999999
x: 0.0017413111035089802, y: 0.0002472860000000003
x: 0.0018940425633572231, y: 0.00025145600000000054
x: 0.0016503229139731043, y: 0.0002533980000000003
x: 0.0017600420795175506, y: 0.00024206400000000057
x: 0.0017586569412686376, y: 0.00024171200000000002
x: 0.002066398185356326, y: 0.00023403199999999993
x: 0.0014027819462477582, y: 0.00023388800000000032
x: 0.0012605435138099857, y: 0.00022653100000000052
x: 0.001491626495335237, y: 0.00022322500000000064
x: 0.0012149949037145234, y: 0.0005955970000000006
x: 0.0011549684356591118, y: 0.0006102020000000002
x: 0.0011338882262984127, y: 0.0006102030000000007
x: 0.0010775365277896957, y: 0.000630837
x: 0.0016977075404935125, y: 0.0006083750000000007
x: 0.001362430827927776, y: 0.0006148560000000008
x: 0.0017355381420248977, y: 0.0006232540000000009
x: 0.0016100427502700034, y: 0.0006112120000000001
x: 0.0019705162849575405, y: 0.0006068960000000008
x: 0.0012165655556090366, y: 0.0005996610000000008
x: 0.001218361298030228, y: 0.0006057560000000008
x: 0.0015364727141428578, y: 0.000620405000000001
x: 0.001652641122247499, y: 0.000635444000000001
x: 0.0019412720220260843, y: 0.0006214490000000008
x: 0.0021730417077312344, y: 0.000611016000000001
x: 0.0019710480113217287, y: 0.0005921460000000008
x: 0.0014474566605931418, y: 0.0006054770000000007
x: 0.001289172923719147, y: 0.0006307400000000009
x: 0.0014277298171190013, y: 0.0006102330000000004
x: 0.0013154305422704879, y: 0.0006174530000000007
x: 0.0013085596942498435, y: 0.0006277440000000009
x: 0.0014321575497516891, y: 0.0006137940000000006
x: 0.0012672122439229708, y: 0.000615312000000001
x: 0.0013939014046747808, y: 0.0006022400000000008
x: 0.0012683857683205367, y: 0.0006015400000000008
x: 0.0012305078893894148, y: 0.0005923580000000004
x: 0.0011108578058332114, y: 0.0002062510000000002
x: 0.0009556058195714384, y: 0.00022077100000000017
x: 0.0010413574078916715, y: 0.0002329960000000002
x: 0.00103044431496684, y: 0.00022569199999999997
x: 0.0008431021094123629, y: 0.00023100300000000002
x: 0.000768330616212903, y: 0.00023573900000000016
x: 0.0009904151097475471, y: 0.00024442300000000007
x: 0.0008589667658259093, y: 0.00023235100000000038
x: 0.0006788084023837265, y: 0.0002308290000000002
x: 0.0007315507045372682, y: 0.00023770200000000074
x: 0.013501021761289407, y: 0.0008146180000000009
x: 0.016327652791215046, y: 0.0008353660000000007
x: 0.012230380668204779, y: 0.0008547180000000014
x: 0.01415958337968274, y: 0.0008921670000000011
x: 0.013797385966181087, y: 0.0009178580000000007
x: 0.009183528456209853, y: 0.0009325490000000016
x: 0.007620877036226878, y: 0.0009429800000000014
x: 0.0018933897940048294, y: 0.0009500250000000007
x: 0.0020675012417599352, y: 0.0009530400000000016
x: 0.003018942639620924, y: 0.0009553530000000013
x: 0.007156357682230751, y: 0.0009232080000000012
x: 0.006787299772671324, y: 0.0009335600000000003
x: 0.00777339748861506, y: 0.000941638000000001
x: 0.00760316698452942, y: 0.000948254
x: 0.007089985017804986, y: 0.0009547420000000013
x: 0.007292316783455148, y: 0.0009589200000000006
x: 0.0071099364675468605, y: 0.0009623010000000008
x: 0.007020668568265277, y: 0.0009655300000000014
x: 0.007555297881586095, y: 0.0009679440000000013
x: 0.006820432257986326, y: 0.0009702600000000014
x: 0.008810579296868013, y: 0.0009565810000000006
x: 0.008338220698229955, y: 0.0009637160000000009
x: 0.0014993152185452188, y: 0.0009684000000000013
x: 0.0016457419272775378, y: 0.0009702670000000017
x: 0.001794444525431126, y: 0.0009715900000000013
x: 0.0010116369965966984, y: 0.0009727680000000013
x: 0.010701419934451381, y: 0.0009733530000000015
x: 0.01111647018073024, y: 0.0009765260000000015
x: 0.008984490083672804, y: 0.000980258000000001
x: 0.009610073694520603, y: 0.000983186000000001
x: 0.0005343588857805292, y: 0.0006872870000000009
x: 0.0004967016574978746, y: 0.0006796780000000003
x: 0.0005620827283238834, y: 0.0006639250000000006
x: 0.0005595074423804028, y: 0.0006678220000000009
x: 0.0005706368007331102, y: 0.0006643060000000008
x: 0.0023279783533770703, y: 0.0006900190000000007
x: 0.002832714611818827, y: 0.0006889030000000011
x: 0.0024753559057921664, y: 0.000688501000000001
x: 0.0027581475897912005, y: 0.000686038000000001
x: 0.0027385080682103416, y: 0.0006817850000000007
x: 0.0027515913973615654, y: 0.0006746800000000007
x: 0.003611543526378471, y: 0.0006704890000000008
x: 0.0032620586821288425, y: 0.0006625090000000009
x: 0.0033238399007836333, y: 0.0006578270000000004
x: 0.003272383849700813, y: 0.0006484450000000009
x: 0.0004892693244865855, y: 0.0006974770000000006
x: 0.0006574030956279954, y: 0.0006840710000000012
x: 0.0005219267951125199, y: 0.0006901520000000002
x: 0.0005073561069109975, y: 0.0006938340000000006
x: 0.0006104782921433573, y: 0.0006812620000000003
x: 0.0005902827574442804, y: 0.000685226
x: 0.0005836039956041719, y: 0.0006878250000000011
x: 0.0006678041111846188, y: 0.0006756740000000012
x: 0.0005683426824731693, y: 0.0006790950000000007
x: 0.000593815260228529, y: 0.0006697470000000009

Attach Points (Label -1):
x: 0.0033925167125410044, y: 0.0006862940000000009
x: 0.0020381623551868795, y: 0.000686374000000001
x: 0.0032334580932737544, y: 0.0006855560000000007
x: 0.003564693529097504, y: 0.0006848830000000007
x: 0.00234429031473446, y: 0.0006838520000000005
x: 0.004782150314250344, y: 0.0006846340000000008
x: 0.0032183155773978997, y: 0.000685175000000001
x: 0.004570701736577122, y: 0.0006844650000000006
x: 0.004007003535689242, y: 0.0006846940000000011
x: 0.004794341377973373, y: 0.0006852900000000006
x: 0.0015720099732303436, y: 0.0007122350000000011
x: 0.001549486967481769, y: 0.0007109820000000002
x: 0.0016472160367098367, y: 0.0007131400000000006
x: 0.0017503997399545693, y: 0.0007096020000000012
x: 0.0022151348222815646, y: 0.0007109380000000009
x: 0.0019002150208026578, y: 0.0007074440000000005
x: 0.002314566817170886, y: 0.0007055960000000012
x: 0.002664616857359636, y: 0.0007035230000000007
x: 0.0019691581254892686, y: 0.0007034150000000005
x: 0.0027028819998475, y: 0.000702751000000001
x: 0.0015747962857901871, y: 0.0007531050000000004
x: 0.0018837823755442713, y: 0.000751025
x: 0.001817693749632514, y: 0.0007576880000000012
x: 0.001576921605156929, y: 0.0007489170000000009
x: 0.0019090563164230062, y: 0.0007458220000000011
x: 0.0015363367262289315, y: 0.0007537170000000008
x: 0.0018377090640758252, y: 0.0007465590000000003
x: 0.0018084438276371136, y: 0.0007574720000000011
x: 0.0014491982913585118, y: 0.0007498920000000008
x: 0.001765812807236117, y: 0.0007471030000000011
x: 0.0011007983002985036, y: 0.0002591280000000002
x: 0.001249148195703581, y: 0.0002482369999999999
x: 0.0011581226272879051, y: 0.00025855100000000015
x: 0.0011457132482014809, y: 0.0002655500000000007
x: 0.001242250038072243, y: 0.00026013
x: 0.00108459156470331, y: 0.00025953600000000053
x: 0.0012090376715096114, y: 0.0002537440000000002
x: 0.0012085128473404607, y: 0.00025090499999999994
x: 0.0013025498341266647, y: 0.000255279
x: 0.0013081849931033177, y: 0.00025463600000000025
x: 0.0002587440843223862, y: 0.0006495400000000011
x: 0.0002707936523238876, y: 0.0006503480000000005
x: 0.0002656065882185782, y: 0.000651393000000001
x: 0.0002897247845012904, y: 0.000654587000000001
x: 0.00028419206732459117, y: 0.0006522630000000008
x: 0.00031339015659190836, y: 0.0006498300000000008
x: 0.0003126242718075224, y: 0.0006486310000000005
x: 0.00034671271820787154, y: 0.0006475870000000009
x: 0.00033950232810867856, y: 0.000654518
x: 0.000417054725286005, y: 0.0006491260000000007
x: 0.0002688763307030431, y: 0.000654596000000001
x: 0.00029597383958365596, y: 0.0006565220000000005
x: 0.0003021038852307845, y: 0.0006589720000000008
x: 0.0003048164219379997, y: 0.0006591340000000008
x: 0.00032415678938612524, y: 0.0006626610000000008
x: 0.00034364874129612355, y: 0.0006637090000000007
x: 0.00038558487395853446, y: 0.0006540260000000011
x: 0.00047238566695988513, y: 0.0006493630000000006
x: 0.0005008312982455852, y: 0.0006598010000000011
x: 0.0005557347831111409, y: 0.0006661210000000005
x: 0.00046450345584022403, y: 1.5213500000000015e-05
x: 0.00039537834541241546, y: 1.288980000000002e-05
x: 0.0005004108091351334, y: 1.3176900000000018e-05
x: 0.0005357365136432876, y: 1.3992800000000023e-05
x: 0.0005642851147236408, y: 1.402050000000002e-05
x: 0.0003743542631856252, y: 1.4229200000000033e-05
x: 0.00038773752329905646, y: 1.4012200000000001e-05
x: 0.00039747602937480734, y: 1.3869500000000002e-05
x: 0.0004106490561188093, y: 1.3614800000000017e-05
x: 0.0004152545489045024, y: 1.3643600000000001e-05
x: 0.00031215406708835547, y: 0.000619270000000001
x: 0.000321852252269208, y: 0.0005898260000000009
x: 0.0004418561923059023, y: 0.0005998230000000001
x: 0.0003089136969939416, y: 0.0005953790000000008
x: 0.00039060584054665114, y: 0.0006132810000000001
x: 0.0003238958372050674, y: 0.0005872950000000009
x: 0.000525519430945617, y: 0.000595503000000001
x: 0.0003507335905211821, y: 0.0005888310000000007
x: 0.00037084148539386037, y: 0.000600362000000001
x: 0.00043239239180810026, y: 0.0006049310000000002
x: 0.00035415423069691, y: 0.0004837300000000005
x: 0.00033752714002320257, y: 0.0004781840000000006
x: 0.00036779685280274676, y: 0.0005025980000000007
x: 0.000365780821149034, y: 0.0004996110000000008
x: 0.000410125267269842, y: 0.0004928580000000003
x: 0.00039986193106066823, y: 0.0004768890000000002
x: 0.0003828768271194017, y: 0.0004948350000000003
x: 0.0004401125264622804, y: 0.00047224700000000056
x: 0.0004104719607102628, y: 0.0004815210000000005
x: 0.0004550644003184078, y: 0.0004816090000000005
x: 0.0002265972174241022, y: 0.0005088920000000008
x: 0.000244463160463225, y: 0.0005072800000000006
x: 0.0002418141034425141, y: 0.0005057310000000008
x: 0.0002523839363504776, y: 0.0005030480000000007
x: 0.00027642078813488026, y: 0.0004994520000000003
x: 0.00032378460884921055, y: 0.0004945450000000011
x: 0.0003487862974302063, y: 0.000489656
x: 0.0003492705956097282, y: 0.000488093
x: 0.0004076580245905666, y: 0.0004814660000000004
x: 0.00040482533440326944, y: 0.0004769840000000005
x: 0.0004098975959782095, y: 0.00020967600000000027
x: 0.00040253517773755816, y: 0.00021825300000000028
x: 0.0004820845267992972, y: 0.00022617900000000015
x: 0.0005084789327451125, y: 0.00023213900000000008
x: 0.0005264077838325183, y: 0.00024072800000000017
x: 0.0005700796442820841, y: 0.00024622000000000023
x: 0.0006538154788574103, y: 0.0002527660000000002
x: 0.0007518424220270783, y: 0.00025909300000000077
x: 0.0009552200640290318, y: 0.00025946100000000027
x: 0.0010259095165668834, y: 0.000260295
x: 0.0, y: 0.0004402630000000002
x: 0.0, y: 0.0004510620000000005
