time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3, 0.00034777609, -0.00000000, 0, -2.1991151, 0.00034777609, 0.549856
3.001, 0.00034779123, 0.00048828125, 1.60945008974522E-07, 1.3983178, 0.00034777609, 0.549856
3.002, 0.00034821143, 0.00059801998, 4.8865401186049E-07, 0.39332141, 0.00034777609, 0.549856
3.003, 0.00034871749, 0.00077204045, 9.83789004385471E-07, 0.21654360, 0.00034777609, 0.549856
3.004, 0.00034911708, 0.0012448779, 1.41008999198675E-06, 0.23649884, 0.00034777609, 0.549856
3.005, 0.00034962365, 0.0019834081, 1.96901001036167E-06, 0.27556516, 0.00034777609, 0.549856
3.006, 0.00034994791, 0.0024897563, 2.34156996011734E-06, 0.30590547, 0.00034777609, 0.549856
3.007, 0.00035030031, 0.0031644255, 2.75299996137619E-06, 0.33366993, 0.00034777609, 0.549856
3.008, 0.00035072312, 0.0039214818, 3.25210988521576E-06, 0.36011462, 0.00034777609, 0.549856
3.009, 0.00035101989, 0.0047340668, 3.64123992621899E-06, 0.39548756, 0.00034777609, 0.549856
3.01, 0.00035142348, 0.0056417165, 4.14679013192654E-06, 0.42020352, 0.00034777609, 0.549856
3.011, 0.00035186849, 0.0065236390, 4.68649975955486E-06, 0.43381161, 0.00034777609, 0.549856
3.012, 0.00035215337, 0.0080158683, 5.19897006452084E-06, 0.49546146, 0.00034777609, 0.549856
3.013, 0.00035254460, 0.0091675045, 5.74764981865883E-06, 0.51845919, 0.00034777609, 0.549856
3.014, 0.00035286736, 0.010461125, 6.27223998308182E-06, 0.55049676, 0.00034777609, 0.549856
3.015, 0.00035311933, 0.011965453, 6.79162964224815E-06, 0.59282954, 0.00034777609, 0.549856
3.016, 0.00035346110, 0.013156534, 7.32075944542885E-06, 0.60974977, 0.00034777609, 0.549856
3.017, 0.00035373721, 0.014497229, 7.83515051007271E-06, 0.63504023, 0.00034777609, 0.549856
3.018, 0.00035397784, 0.015506449, 8.24960023164749E-06, 0.64938609, 0.00034777609, 0.549856
3.019, 0.00035429848, 0.016446641, 8.71086046099663E-06, 0.65439775, 0.00034777609, 0.549856
3.02, 0.00035445073, 0.017421668, 9.05288010835648E-06, 0.67202654, 0.00034777609, 0.549856
3.021, 0.00035470878, 0.018069951, 9.39905047416687E-06, 0.67191119, 0.00034777609, 0.549856
3.022, 0.00035501021, 0.018551741, 9.73799005150795E-06, 0.66429971, 0.00034777609, 0.549856
3.023, 0.00035512844, 0.019369135, 1.0019900649786E-05, 0.67820741, 0.00034777609, 0.549856
3.024, 0.00035543750, 0.019906400, 1.0376999527216E-05, 0.67178386, 0.00034777609, 0.549856
3.025, 0.00035568172, 0.020194773, 1.06279000639915E-05, 0.66366605, 0.00034777609, 0.549856
3.026, 0.00035585186, 0.020742269, 1.08840003609657E-05, 0.66673700, 0.00034777609, 0.549856
3.027, 0.00035609911, 0.020911137, 1.11097000539303E-05, 0.65604633, 0.00034777609, 0.549856
3.028, 0.00035631294, 0.021070164, 1.13090999424458E-05, 0.64748360, 0.00034777609, 0.549856
3.029, 0.00035647832, 0.021278486, 1.14827997982502E-05, 0.64302771, 0.00034777609, 0.549856
3.03, 0.00035678568, 0.021199903, 1.17024004459381E-05, 0.62432933, 0.00034777609, 0.549856
3.031, 0.00035689488, 0.021143593, 1.17745004594326E-05, 0.61712381, 0.00034777609, 0.549856
3.032, 0.00035706031, 0.020990800, 1.18702001869678E-05, 0.60479504, 0.00034777609, 0.549856
3.033, 0.00035727192, 0.020615436, 1.19570001959801E-05, 0.58507799, 0.00034777609, 0.549856
3.034, 0.00035726868, 0.020185916, 1.1863199621439E-05, 0.57491387, 0.00034777609, 0.549856
3.035, 0.00035742131, 0.019804327, 1.19071997702122E-05, 0.55809551, 0.00034777609, 0.549856
3.036, 0.00035756064, 0.019018199, 1.1862600594759E-05, 0.53201859, 0.00034777609, 0.549856
3.037, 0.00035757710, 0.018554954, 1.17850005626678E-05, 0.51960218, 0.00034777609, 0.549856
3.038, 0.00035760949, 0.017907584, 1.16866007447243E-05, 0.50143410, 0.00034777609, 0.549856
3.039, 0.00035768975, 0.017048147, 1.15942001342773E-05, 0.47526205, 0.00034777609, 0.549856
3.04, 0.00035764572, 0.016659101, 1.14864997565746E-05, 0.46694500, 0.00034777609, 0.549856
