time(s), Phieff(Wb), Thetaeff(rad), Phipl(Wb), DelTheta(rad), Phiext(Wb), Thetaext(rad)
3.00000, 0.00050526372, 0.072053209, 8.07028e-05, 2.6267231, 0.00057599309, 0.581026
3.00100, 0.00050551984, 0.071880788, 8.04382e-05, 2.6260192, 0.00057599309, 0.581026
3.00200, 0.00050597175, 0.071612217, 7.99810e-05, 2.6245673, 0.00057599309, 0.581026
3.00300, 0.00050637429, 0.071498834, 7.96063e-05, 2.6225860, 0.00057599309, 0.581026
3.00400, 0.00050671275, 0.071630545, 7.93515e-05, 2.6196592, 0.00057599309, 0.581026
3.00500, 0.00050716428, 0.071631379, 7.89662e-05, 2.6166852, 0.00057599309, 0.581026
3.00600, 0.00050759112, 0.071654692, 7.86086e-05, 2.6137235, 0.00057599309, 0.581026
3.00700, 0.00050809641, 0.071762837, 7.82079e-05, 2.6097353, 0.00057599309, 0.581026
3.00800, 0.00050865743, 0.071784452, 7.77380e-05, 2.6058018, 0.00057599309, 0.581026
3.00900, 0.00050916840, 0.071966216, 7.73550e-05, 2.6012809, 0.00057599309, 0.581026
3.01000, 0.00050969220, 0.072095416, 7.69486e-05, 2.5969136, 0.00057599309, 0.581026
3.01100, 0.00051019098, 0.072226867, 7.65655e-05, 2.5926612, 0.00057599309, 0.581026
3.01200, 0.00051065705, 0.072468467, 7.62419e-05, 2.5879839, 0.00057599309, 0.581026
3.01300, 0.00051111026, 0.072521135, 7.58777e-05, 2.5844200, 0.00057599309, 0.581026
3.01400, 0.00051157918, 0.072632104, 7.55178e-05, 2.5803793, 0.00057599309, 0.581026
3.01500, 0.00051191055, 0.072854355, 7.53057e-05, 2.5766780, 0.00057599309, 0.581026
3.01600, 0.00051232994, 0.072889552, 7.49677e-05, 2.5733650, 0.00057599309, 0.581026
3.01700, 0.00051265140, 0.073025294, 7.47402e-05, 2.5701945, 0.00057599309, 0.581026
3.01800, 0.00051300945, 0.073134683, 7.44763e-05, 2.5668638, 0.00057599309, 0.581026
3.01900, 0.00051335105, 0.073149361, 7.41991e-05, 2.5641763, 0.00057599309, 0.581026
3.02000, 0.00051363008, 0.073278926, 7.40071e-05, 2.5613024, 0.00057599309, 0.581026
3.02100, 0.00051391553, 0.073373303, 7.38007e-05, 2.5585535, 0.00057599309, 0.581026
3.02200, 0.00051424155, 0.073356226, 7.35283e-05, 2.5561187, 0.00057599309, 0.581026
3.02300, 0.00051449240, 0.073393628, 7.33342e-05, 2.5539386, 0.00057599309, 0.581026
3.02400, 0.00051477529, 0.073366798, 7.30953e-05, 2.5518611, 0.00057599309, 0.581026
3.02500, 0.00051506751, 0.073305786, 7.28386e-05, 2.5498989, 0.00057599309, 0.581026
3.02600, 0.00051532773, 0.073370859, 7.26462e-05, 2.5474460, 0.00057599309, 0.581026
3.02700, 0.00051557986, 0.073309854, 7.24226e-05, 2.5457809, 0.00057599309, 0.581026
3.02800, 0.00051588686, 0.073339961, 7.21827e-05, 2.5431221, 0.00057599309, 0.581026
3.02900, 0.00051612901, 0.073449694, 7.20193e-05, 2.5405243, 0.00057599309, 0.581026
3.03000, 0.00051637744, 0.073341586, 7.17856e-05, 2.5391204, 0.00057599309, 0.581026
3.03100, 0.00051663108, 0.073300086, 7.15681e-05, 2.5372760, 0.00057599309, 0.581026
3.03200, 0.00051682605, 0.073325314, 7.14183e-05, 2.5355213, 0.00057599309, 0.581026
3.03300, 0.00051711157, 0.073312297, 7.11843e-05, 2.5332248, 0.00057599309, 0.581026
3.03400, 0.00051734116, 0.073291950, 7.09930e-05, 2.5314324, 0.00057599309, 0.581026
3.03500, 0.00051758499, 0.073234946, 7.07793e-05, 2.5297239, 0.00057599309, 0.581026
3.03600, 0.00051784069, 0.073191762, 7.05612e-05, 2.5278108, 0.00057599309, 0.581026
3.03700, 0.00051805517, 0.073189318, 7.03884e-05, 2.5260079, 0.00057599309, 0.581026
3.03800, 0.00051831466, 0.073010586, 7.01249e-05, 2.5248563, 0.00057599309, 0.581026
3.03900, 0.00051857323, 0.072916560, 6.98887e-05, 2.5231993, 0.00057599309, 0.581026
3.04000, 0.00051878939, 0.072865814, 6.97001e-05, 2.5216396, 0.00057599309, 0.581026
3.04100, 0.00051905301, 0.072720759, 6.94443e-05, 2.5202220, 0.00057599309, 0.581026
3.04200, 0.00051932106, 0.072556496, 6.91791e-05, 2.5188701, 0.00057599309, 0.581026
3.04300, 0.00051956073, 0.072433889, 6.89496e-05, 2.5175092, 0.00057599309, 0.581026
3.04400, 0.00051985000, 0.072233476, 6.86564e-05, 2.5161684, 0.00057599309, 0.581026
3.04500, 0.00052013287, 0.072142571, 6.84027e-05, 2.5142162, 0.00057599309, 0.581026
3.04600, 0.00052039031, 0.071928903, 6.81304e-05, 2.5132248, 0.00057599309, 0.581026
3.04700, 0.00052066424, 0.071769491, 6.78626e-05, 2.5117414, 0.00057599309, 0.581026
3.04800, 0.00052086865, 0.071717940, 6.76843e-05, 2.5102151, 0.00057599309, 0.581026
3.04900, 0.00052117514, 0.071547210, 6.73873e-05, 2.5084870, 0.00057599309, 0.581026
3.05000, 0.00052150459, 0.071417026, 6.70852e-05, 2.5062873, 0.00057599309, 0.581026
3.05100, 0.00052171448, 0.071307510, 6.68845e-05, 2.5050371, 0.00057599309, 0.581026
3.05200, 0.00052200866, 0.071152575, 6.66025e-05, 2.5032895, 0.00057599309, 0.581026
3.05300, 0.00052229675, 0.070963681, 6.63149e-05, 2.5017884, 0.00057599309, 0.581026
3.05400, 0.00052255135, 0.070818104, 6.60673e-05, 2.5003269, 0.00057599309, 0.581026
3.05500, 0.00052282868, 0.070647746, 6.57944e-05, 2.4987876, 0.00057599309, 0.581026
3.05600, 0.00052309335, 0.070382953, 6.55006e-05, 2.4979565, 0.00057599309, 0.581026
3.05700, 0.00052336592, 0.070186891, 6.52232e-05, 2.4966047, 0.00057599309, 0.581026
3.05800, 0.00052365875, 0.069885373, 6.48955e-05, 2.4957216, 0.00057599309, 0.581026
3.05900, 0.00052391199, 0.069650240, 6.46205e-05, 2.4947879, 0.00057599309, 0.581026
3.06000, 0.00052415001, 0.069416896, 6.43578e-05, 2.4939878, 0.00057599309, 0.581026
3.06100, 0.00052452511, 0.069133595, 6.39713e-05, 2.4921753, 0.00057599309, 0.581026
3.06200, 0.00052475378, 0.068936586, 6.37285e-05, 2.4912036, 0.00057599309, 0.581026
3.06300, 0.00052504326, 0.068595678, 6.33904e-05, 2.4905737, 0.00057599309, 0.581026
3.06400, 0.00052531581, 0.068364836, 6.31016e-05, 2.4893892, 0.00057599309, 0.581026
3.06500, 0.00052552506, 0.068129726, 6.28608e-05, 2.4888542, 0.00057599309, 0.581026
3.06600, 0.00052585372, 0.067863911, 6.25170e-05, 2.4873188, 0.00057599309, 0.581026
3.06700, 0.00052607755, 0.067552045, 6.22397e-05, 2.4871314, 0.00057599309, 0.581026
3.06800, 0.00052636147, 0.067379631, 6.19615e-05, 2.4854109, 0.00057599309, 0.581026
3.06900, 0.00052660015, 0.067159727, 6.17031e-05, 2.4844496, 0.00057599309, 0.581026
3.07000, 0.00052683608, 0.066857956, 6.14195e-05, 2.4840639, 0.00057599309, 0.581026
3.07100, 0.00052711195, 0.066644385, 6.11339e-05, 2.4826744, 0.00057599309, 0.581026
3.07200, 0.00052738508, 0.066342980, 6.08216e-05, 2.4818904, 0.00057599309, 0.581026
3.07300, 0.00052760477, 0.066068187, 6.05599e-05, 2.4814704, 0.00057599309, 0.581026
3.07400, 0.00052783178, 0.065696076, 6.02598e-05, 2.4816444, 0.00057599309, 0.581026
3.07500, 0.00052808041, 0.065383002, 5.99622e-05, 2.4811957, 0.00057599309, 0.581026
3.07600, 0.00052831189, 0.065214016, 5.97259e-05, 2.4799292, 0.00057599309, 0.581026
3.07700, 0.00052856272, 0.064858168, 5.94129e-05, 2.4797328, 0.00057599309, 0.581026
