shotNO, times, types, nel, B, Pech, Pnbi-tan, Pnbi-perp, Pinput, Prad, Prad/Pinput, Wp, beta, Rax, rax_vmec, a99, D/(H+D), CIII, CIV, OV, OVI, FeXVI, Ip, Isat@4R, Isat@6L, Isat@7L, reff@100eV, ne@100eV, dVdreff@100eV, Te@center, Te@edge, ne@center, SDLloop_dPhi, SDLloop_dPhi_ext, SDLloop_dTheta
1.15083e+05,3.30000e+00,0.00000e+00,4.31744e-03,2.53850e+00,1.56900e+00,0.00000e+00,0.00000e+00,1.56900e+00,6.79570e-02,4.33123e-02,-2.32386e-02,-2.97489e-02,3.82540e+00,3.93990e+00,7.67150e-01,0.00000e+00,3.10670e+02,7.87504e-01,3.10670e+02,4.74818e+00,3.10670e+02,-1.12980e-02,3.23178e-03,2.13473e-03,2.54146e-03,0.00000e+00,0.00000e+00,0.00000e+00,9.11880e-04,9.11880e-04,2.46094e-02,5.95687e-04,5.75334e-04,2.08569e-02
1.15083e+05,3.31000e+00,0.00000e+00,1.49094e-01,2.53850e+00,1.56900e+00,1.38656e+00,0.00000e+00,2.95556e+00,5.19310e-02,1.75706e-02,-1.89912e-02,-2.43115e-02,3.82234e+00,3.92935e+00,7.05941e-01,0.00000e+00,2.70836e+00,3.82980e-01,2.70836e+00,2.03228e-01,2.70836e+00,2.24320e-01,6.16360e-03,4.78460e-03,4.98830e-03,1.64972e-01,1.95997e-01,2.73205e+01,5.83050e-01,2.15029e-02,9.55724e-02,5.99479e-04,5.75334e-04,2.24269e-02
1.15083e+05,3.32000e+00,0.00000e+00,2.93870e-01,2.53850e+00,1.74170e+00,4.11232e+00,0.00000e+00,5.85402e+00,1.23790e-01,2.11461e-02,-1.05996e-02,-1.35691e-02,3.81928e+00,3.91881e+00,6.44732e-01,0.00000e+00,1.39075e+00,4.43733e-01,1.39075e+00,1.52788e-01,1.39075e+00,2.37110e-01,1.56100e-02,1.37400e-02,1.39885e-02,3.29945e-01,3.91995e-01,5.46409e+01,1.16519e+00,4.20939e-02,1.66535e-01,6.03495e-04,5.75334e-04,2.37513e-02
1.15083e+05,3.33000e+00,0.00000e+00,4.38647e-01,2.53850e+00,1.74170e+00,4.18137e+00,0.00000e+00,5.92307e+00,1.31590e-01,2.22165e-02,-9.90033e-04,-1.26739e-03,3.81622e+00,3.90826e+00,5.83523e-01,0.00000e+00,1.39930e+00,1.63685e-01,1.39930e+00,4.80797e-01,1.39930e+00,2.65420e-01,3.26710e-02,3.07680e-02,2.91170e-02,4.94917e-01,5.87992e-01,8.19614e+01,1.74733e+00,6.26849e-02,2.37498e-01,6.07068e-04,5.75334e-04,2.52335e-02
1.15083e+05,3.34000e+00,0.00000e+00,5.46905e-01,2.53850e+00,1.74170e+00,4.23342e+00,0.00000e+00,5.97512e+00,1.63360e-01,2.73400e-02,7.34241e-03,9.39936e-03,3.81530e+00,3.90510e+00,5.66899e-01,0.00000e+00,1.36331e+00,1.57980e-01,1.36331e+00,3.41010e-01,1.36331e+00,9.04780e-02,4.40010e-02,4.49390e-02,4.22020e-02,5.46505e-01,7.26219e-01,9.07937e+01,1.86696e+00,7.37927e-02,3.03190e-01,6.10193e-04,5.75334e-04,2.77385e-02
1.15083e+05,3.35000e+00,0.00000e+00,6.39512e-01,2.53850e+00,1.74170e+00,4.21445e+00,0.00000e+00,5.95615e+00,2.23120e-01,3.74604e-02,1.42070e-02,1.81870e-02,3.81530e+00,3.90510e+00,5.69384e-01,0.00000e+00,1.38731e+00,1.12273e-01,1.38731e+00,2.83967e-01,1.38731e+00,-1.84990e-01,5.16330e-02,5.65510e-02,5.27520e-02,5.49499e-01,8.39686e-01,9.17025e+01,1.78837e+00,8.08363e-02,3.66622e-01,6.12215e-04,5.75334e-04,3.14718e-02
1.15083e+05,3.36000e+00,0.00000e+00,7.32119e-01,2.53850e+00,1.74170e+00,4.28201e+00,0.00000e+00,6.02371e+00,1.78170e-01,2.95781e-02,2.04463e-02,2.61743e-02,3.81530e+00,3.90510e+00,5.71869e-01,0.00000e+00,1.33858e+00,1.31399e-01,1.33858e+00,2.88068e-01,1.33858e+00,-1.25290e-01,5.78685e-02,6.49810e-02,6.10720e-02,5.52493e-01,9.53153e-01,9.26113e+01,1.70978e+00,8.78799e-02,4.30055e-01,6.13656e-04,5.75334e-04,3.70697e-02
1.15083e+05,3.37000e+00,0.00000e+00,8.08796e-01,2.53850e+00,1.74170e+00,4.29383e+00,0.00000e+00,6.03553e+00,1.70040e-01,2.81731e-02,2.62918e-02,3.36574e-02,3.81578e+00,3.90674e+00,5.73139e-01,0.00000e+00,1.29612e+00,1.12884e-01,1.29612e+00,3.03043e-01,1.29612e+00,-4.06240e-01,6.31890e-02,7.19930e-02,6.78940e-02,5.54452e-01,1.04413e+00,9.32084e+01,1.65217e+00,9.29969e-02,4.88244e-01,6.14116e-04,5.75334e-04,4.16388e-02
1.15083e+05,3.38000e+00,0.00000e+00,8.61580e-01,2.53850e+00,1.74170e+00,4.38174e+00,0.00000e+00,6.12344e+00,2.37410e-01,3.87707e-02,3.20698e-02,4.10541e-02,3.81699e+00,3.91082e+00,5.72586e-01,0.00000e+00,1.33012e+00,8.90225e-02,1.33012e+00,2.73219e-01,1.33012e+00,-4.34850e-01,6.97520e-02,7.81865e-02,7.60460e-02,5.54859e-01,1.10138e+00,9.33382e+01,1.62603e+00,9.52239e-02,5.38568e-01,6.13752e-04,5.75334e-04,4.61228e-02
1.15083e+05,3.39000e+00,0.00000e+00,9.14363e-01,2.53850e+00,1.74170e+00,4.44694e+00,0.00000e+00,6.18864e+00,2.52730e-01,4.08377e-02,3.74606e-02,4.79551e-02,3.81819e+00,3.91491e+00,5.72033e-01,0.00000e+00,1.29609e+00,8.38836e-02,1.29609e+00,2.41370e-01,1.29609e+00,-5.75550e-01,7.46910e-02,8.50680e-02,8.22800e-02,5.55266e-01,1.15862e+00,9.34679e+01,1.59989e+00,9.74510e-02,5.88893e-01,6.12866e-04,5.75334e-04,5.04486e-02
1.15083e+05,3.40000e+00,0.00000e+00,9.67146e-01,2.53850e+00,1.74170e+00,4.51645e+00,0.00000e+00,6.25815e+00,2.07540e-01,3.31632e-02,4.22699e-02,5.41116e-02,3.81940e+00,3.91900e+00,5.71480e-01,0.00000e+00,1.25059e+00,8.42686e-02,1.25059e+00,2.53426e-01,1.25059e+00,-9.06540e-01,8.05635e-02,9.02330e-02,8.72250e-02,5.55672e-01,1.21587e+00,9.35977e+01,1.57374e+00,9.96781e-02,6.39217e-01,6.11390e-04,5.75334e-04,5.43619e-02
