#[Parameters]
# Name = 'nb3-POWER-TEMPORAL'
# ShotNo = 152718
# Date = '02/14/2019 17:38'
# 
# DimNo = 1
# DimName = 'time'
# DimSize = 13107
# DimUnit = 's'
# 
# ValNo = 5
# ValName ='Ebeam_nb3','Pport-through_nb3','Ion-stsA_nb3','Ion-stsB_nb3','ISGas_nb3'
# ValUnit ='keV','MW','','',''
# 
# [comments]
# 'NBI provisional value'
# 'NIFS Analysis Information Group.(2006, 2017)'
# ''
# 'PortThroughRate = 0.36'
# 'ISGas = 1 for H2, 2 for D2.'
# ''
# 'time[sec.],Enb[keV],Pport-though[MW],Ion-statusA,Ion-statusB,ISGas'
# [data]
     0.001,    0.0000,    0.0000,0,0,1
     0.002,    0.0000,    0.0000,0,0,1
     0.003,    0.0000,    0.0000,0,0,1
     0.004,    0.0000,    0.0000,0,0,1
     0.005,    0.0000,    0.0000,0,0,1
     0.006,    0.0000,    0.0000,0,0,1
     0.007,    0.0000,    0.0000,0,0,1
     0.008,    0.0000,    0.0000,0,0,1
     0.009,    0.0000,    0.0000,0,0,1
     0.010,    0.0000,    0.0000,0,0,1
     0.011,    0.0000,    0.0000,0,0,1
     0.012,    0.0000,    0.0000,0,0,1
     0.013,    0.0000,    0.0000,0,0,1
     0.014,    0.0000,    0.0000,0,0,1
     0.015,    0.0000,    0.0000,0,0,1
     0.016,    0.0000,    0.0000,0,0,1
     0.017,    0.0000,    0.0000,0,0,1
     0.018,    0.0000,    0.0000,0,0,1
     0.019,    0.0000,    0.0000,0,0,1
     0.020,    0.0000,    0.0000,0,0,1
     0.021,    0.0000,    0.0000,0,0,1
     0.022,    0.0000,    0.0000,0,0,1
     0.023,    0.0000,    0.0000,0,0,1
     0.024,    0.0000,    0.0000,0,0,1
     0.025,    0.0000,    0.0000,0,0,1
     0.026,    0.0000,    0.0000,0,0,1
     0.027,    0.0000,    0.0000,0,0,1
     0.028,    0.0000,    0.0000,0,0,1
     0.029,    0.0000,    0.0000,0,0,1
     0.030,    0.0000,    0.0000,0,0,1
     0.031,    0.0000,    0.0000,0,0,1
     0.032,    0.0000,    0.0000,0,0,1
     0.033,    0.0000,    0.0000,0,0,1
     0.034,    0.0000,    0.0000,0,0,1
