data,cycle,shot#,B,LID
20131112,17,120946,-2.64,3340
20131112,17,120948,-2.64,3340
20131112,17,120950,-2.64,3040
20131112,17,120952,-2.64,3040
20131112,17,120954,-2.64,2540
20131112,17,120958,-2.64,2540
20131112,17,120960,-2.64,1950
20131112,17,120962,-2.64,1950
20131112,17,120964,-2.64,1530
20131112,17,120968,-2.64,0
20131112,17,120969,-2.57,3340
20131112,17,120971,-2.57,3340
20131112,17,120973,-2.57,3340
20131112,17,120975,-2.57,3040
20131112,17,120979,-2.57,3040
20131112,17,120981,-2.57,2540
20131112,17,120983,-2.57,2540
20131112,17,120985,-2.57,2540
20131112,17,120987,-2.57,1950
20131112,17,120989,-2.57,1950
20131112,17,120991,-2.57,0
20131112,17,121002,-2.54,3340
20131112,17,121012,-2.54,3340
20131112,17,121016,-2.54,3340
20131112,17,121018,-2.54,3340
20131112,17,121020,-2.54,3340
20131112,17,121024,-2.54,3340
20131112,17,121030,-2.54,3340
20131112,17,121034,-2.54,3340
20131112,17,121036,-2.54,3340
20131112,17,121038,-2.54,3340
20131112,17,121040,-2.54,3340
20131112,17,121046,-2.54,3340
20131112,17,121054,-2.54,0
20131114,17,121345,-2.54,3340
20131114,17,121355,-2.54,3340
20131114,17,121365,-2.54,3340
20131114,17,121393,-2.54,3340
20131114,17,121397,-2.54,3340
20131119,17,121787,-2.54,0
20131119,17,121797,-2.54,0
20131119,17,121817,-2.54,3340
20131119,17,121827,-2.54,3340
20141114,17,121371,-2.54,3340
20141114,17,121373,-2.54,3340
20141225,18,128149,2.54,0
20141225,18,128174,2.54,3440
20141225,18,128181,2.54,3440
20141225,18,128184,2.54,3440
20141225,18,128186,2.54,3440
20141225,18,128188,2.54,3440
20141225,18,128191,2.54,3440
20141225,18,128193,2.54,3440
20141225,18,128195,2.54,0
20141225,18,128200,2.54,2540
20141225,18,128202,2.54,2540
20141225,18,128221,2.54,3440
20150129,18,130795,-2.54,0
20150129,18,130798,-2.54,3340
20150129,18,130799,-2.54,0
20150129,18,130805,-2.54,0
20150129,18,130811,-2.54,0
20170629,19,141668,-2.54,0
20170629,19,141677,-2.54,0
20170629,19,141680,-2.54,0
20170629,19,141685,-2.54,0
20170707,19,142355,-2.54,3300
20170707,19,142357,-2.54,3300
20170707,19,142359,-2.54,3300
20170707,19,142361,-2.54,3300
20170707,19,142363,-2.54,3300
20170707,19,142364,-2.54,0
20170707,19,142365,-2.54,3300
20170707,19,142369,-2.54,3300
20170707,19,142370,-2.54,0
20170707,19,142379,-2.54,3300
20181218,20,148561,-2.54,0
20181218,20,148569,-2.54,0
20181218,20,148582,-2.54,3000
20181218,20,148584,-2.54,3000
20190214,20,152627,-2.54,0
20190214,20,152630,-2.54,3340
20190214,20,152631,-2.54,0
20190214,20,152632,-2.54,3340
20190214,20,152633,-2.54,0
20190214,20,152635,-2.54,0
20190214,20,152636,-2.54,3340
20190214,20,152638,-2.54,3340
20190214,20,152640,-2.54,3340
20190214,20,152642,-2.54,3340
20190214,20,152645,-2.54,0
20190214,20,152646,-2.54,3040
20190214,20,152648,-2.54,3040
20190214,20,152650,-2.54,3040
20190214,20,152652,-2.54,3040
20190214,20,152658,-2.54,3040
20190214,20,152660,-2.54,2540
20190214,20,152662,-2.54,2540
20190214,20,152666,-2.54,2540
20190214,20,152668,-2.54,2540
20190214,20,152670,-2.54,2540
20190214,20,152672,-2.54,1950
20190214,20,152673,-2.54,1950
20190214,20,152675,-2.54,1950
20190214,20,152676,-2.54,1950
20190214,20,152677,-2.54,1950
20190214,20,152678,-2.54,1950
20190214,20,152681,-2.54,1500
20190214,20,152682,-2.54,1500
20190214,20,152683,-2.54,1500
20190214,20,152687,-2.54,3340
20190214,20,152691,-2.54,3340
20190214,20,152693,-2.54,3340
20190214,20,152695,-2.54,3340
20190214,20,152698,-2.54,3340
20190214,20,152700,-2.54,3340
20190214,20,152702,-2.54,3340
20190214,20,152706,-2.54,3340
20190214,20,152708,-2.54,3340
20190214,20,152710,-2.54,3340
20190214,20,152712,-2.54,3340
20190214,20,152714,-2.54,3340
20190214,20,152716,-2.54,3340
20190214,20,152718,-2.54,3340
20190214,20,152720,-2.54,3340
20190214,20,152722,-2.54,3340
20190214,20,152724,-2.54,3340
20190214,20,152726,-2.54,3340
20190214,20,152728,-2.54,3340
20190214,20,152730,-2.54,3340
20190214,20,152732,-2.54,3340
20190214,20,152734,-2.54,3340
20190214,20,152736,-2.54,3340
20190214,20,152738,-2.54,3340
20190214,20,152740,-2.54,3340
20211028,23,171355,2.54,3000
20211028,23,171357,2.54,3000
20211028,23,171358,2.54,0
20211028,23,171359,2.54,3000
20211028,23,171360,2.54,0
20211028,23,171361,2.54,3000
20211028,23,171362,2.54,0
20211028,23,171363,2.54,3000
20211028,23,171364,2.54,0
20211028,23,171365,2.54,3000
20211028,23,171366,2.54,0
20211028,23,171367,2.54,3000
20211028,23,171368,2.54,0
20211028,23,171369,2.54,0
20211028,23,171370,2.54,0
20211028,23,171371,2.54,0
20211028,23,171372,2.54,0
20211028,23,171373,2.54,3000
20211028,23,171374,2.54,0
