Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4	-0.47149741316251276	0.0	0.9041646331000294	-3.3221192383828027	0.9724338380174355	0.0	0.0	0.0	0.0	0.0	-0.16655707220016058	0.4	0.05333333333333333	0.7569444444444444	0.6166666666666666	nan	0.2905932629027116	0.0819213715162967	0.12270265424197102	0.4349329450233296	nan
0,1,2,3,6	-0.19601506563381454	0.0	1.2750843023069893	-3.687985889503851	0.0	0.0	0.7911167763426129	0.0	0.0	0.0	-0.17201619727226775	0.5333333333333333	0.05333333333333333	0.8013888888888889	0.625	nan	0.4	0.0819213715162967	0.15750881809529832	0.4366062299143245	nan
0,1,2,3,5	-0.8787321230217711	0.0	0.7156512023051904	-3.7100255778958617	0.0	2.4980713569957245	0.0	0.0	0.0	0.0	-0.3322899611463465	0.8666666666666666	0.0	0.9527777777777778	1.0	0.9200000000000002	0.16329931618554522	0.0	0.05800170282728085	0.0	0.0979795897113271
0,1,2,3,7	-1.8557675946325858	0.0	0.4379786502063522	-3.7912967470892154	0.0	0.0	0.0	2.9024140743909514	0.0	0.0	-0.439730491023023	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,1,2,3,8	-0.03489663281962206	0.0	1.2897137351089127	-3.4614169321047887	0.0	0.0	0.0	0.0	1.7178723291400995	0.0	-0.6308887252580954	0.7666666666666667	0.18333333333333332	0.8013888888888889	0.6866666666666668	nan	0.334995854037363	0.14776106839534334	0.13861779097687513	0.28711205710198473	nan
0,1,2,5,6	-1.784541393166237	0.0	2.5811076967902724	0.0	0.0	3.0617938359698496	-2.00466802749381	0.0	0.0	0.0	-1.8775935661722627	0.7666666666666667	0.05	0.8847222222222222	0.9166666666666666	0.818095238095238	0.1527525231651947	0.07637626158259733	0.05009635776908731	0.12909944487358058	0.0781242687040603
0,1,2,5,8	-1.4321341392941647	0.0	2.6065436110019338	0.0	0.0	2.561329455136841	0.0	0.0	2.667084553953821	0.0	-4.085645607301583	0.9333333333333332	0.10333333333333332	0.9083333333333332	0.85	0.8742857142857142	0.13333333333333336	0.08491826135237998	0.04614791034954487	0.12247448713915891	0.06663945022680343
0,1,2,5,7	-2.3186419142718675	0.0	1.811568967992169	0.0	0.0	2.6939215056097865	0.0	2.910416656728149	0.0	0.0	-4.341481809038665	0.9666666666666666	0.03333333333333333	0.9666666666666666	0.95	0.9514285714285714	0.1	0.06666666666666667	0.05091750772173158	0.09999999999999999	0.0756468702564213
0,1,2,6,7	-3.067903087194067	0.0	1.4147357705817118	0.0	0.0	0.0	-0.5099951856185273	3.234833754141004	0.0	0.0	-1.883036377105596	0.8	0.08333333333333333	0.8763888888888889	0.8416666666666666	0.8123809523809525	0.22110831935702666	0.11180339887498948	0.13557860687429749	0.21874007914011148	0.2037316273034671
0,1,2,6,9	-2.8949824984614887	0.0	1.563348900074378	0.0	0.0	0.0	-0.3673603189131763	0.0	0.0	2.6313226127978395	-1.9472194693275817	0.5333333333333334	0.06666666666666667	0.7944444444444444	0.8333333333333333	0.6333333333333333	0.22110831935702666	0.11055415967851333	0.12847034533163532	0.25819888974716115	0.21908902300206645
0,1,2,6,8	-0.1642120935273784	0.0	2.132917841244699	0.0	0.0	0.0	0.06063148174020535	0.0	1.5967901949417296	0.0	-2.9351224655527504	0.0	0.0	0.6541666666666666	0.0	0.0	0.0	0.0	0.01909406539564932	0.0	0.0
0,1,2,3,9	-1.95517785196435	0.0	0.4374798182601264	-3.971234382674502	0.0	0.0	0.0	0.0	0.0	2.8639268279025116	-0.41218144728919504	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,1,2,7,9	-3.351739696390861	0.0	1.2209479492860662	0.0	0.0	0.0	0.0	2.1773831357468927	0.0	1.2960365281718427	-2.0452241193322536	0.7666666666666667	0.1	0.8541666666666666	0.8083333333333332	0.7761904761904762	0.2603416558635552	0.13333333333333333	0.15728821740147397	0.252899848424892	0.24240854927560776
0,1,2,7,8	-2.2124280310542956	0.0	1.735279923913619	0.0	0.0	0.0	0.0	3.000407045591481	2.7713086652751815	0.0	-4.0401298828054415	0.7333333333333333	0.016666666666666666	0.8972222222222221	0.975	0.8057142857142857	0.24944382578492946	0.049999999999999996	0.07837075544258824	0.075	0.17405136469163465
0,1,2,5,9	-2.481041271958091	0.0	1.7846002443721622	0.0	0.0	2.846838285904756	0.0	0.0	0.0	2.69497147641377	-4.235093784702661	0.8999999999999998	0.03333333333333333	0.9416666666666667	0.95	0.9114285714285716	0.1527525231651947	0.06666666666666667	0.058531409738070785	0.09999999999999999	0.09075645813867765
0,1,3,4,5	-0.6411824236931428	0.0	0.0	-3.8934417203472442	0.23516670782068982	2.4580828751734134	0.0	0.0	0.0	0.0	-0.006753648302867144	0.9666666666666666	0.0	0.9875	1.0	0.9800000000000001	0.1	0.0	0.0375	0.0	0.05999999999999999
0,1,3,4,6	-0.35277057919704713	0.0	0.0	-3.9999695447543018	1.123675510465481	0.0	0.5887663292535852	0.0	0.0	0.0	0.2860864579537228	0.4666666666666666	0.016666666666666666	0.8027777777777777	0.675	0.5257142857142857	0.37118429085533483	0.049999999999999996	0.11765454769192983	0.4479118216792229	0.37295291599747604
0,1,3,4,7	-0.9702792277604461	0.0	0.0	-3.894321050571244	-0.843952505506595	0.0	0.0	3.1916916207689483	0.0	0.0	-0.2763275601312454	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,7	-2.4303770967068488	0.0	1.8148549393921474	0.0	-1.4187288932078925	0.0	0.0	3.5527026505178867	0.0	0.0	-2.1407113481948485	0.7333333333333333	0.05	0.8763888888888889	0.8666666666666666	0.7866666666666666	0.24944382578492943	0.07637626158259733	0.1261444522739949	0.20816659994661327	0.22271057451320087
0,1,3,4,9	-1.1429388884755998	0.0	0.0	-4.130586975173777	-0.7955649239070608	0.0	0.0	0.0	0.0	3.164131859842505	-0.231088104986918	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
