# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
8.716429698551959593e-01,8.863432556768556791e-01,9.869862476393940209e-01,6.059658886054128946e-01,1.458556660146195227e-01,4.257313595495904046e-01,8.483965396921322455e-01,8.791424255100035445e-01,8.784440428167752390e-01,5.628769405845626128e-01,9.562207312485175859e-01
8.621670015322711045e-01,8.863432556768556791e-01,9.854782774732659956e-01,6.857245732257444271e-01,1.870662108358240872e-01,4.244177027992942497e-01,8.477838134656138225e-01,8.932271536434182035e-01,8.778183116461172331e-01,5.663016209281885871e-01,9.559953695819961572e-01
8.565070377912551436e-01,8.863432556768556791e-01,9.848917958019065555e-01,6.086186980337462415e-01,1.495133030731687906e-01,4.225747742417580444e-01,8.565180890617439813e-01,9.072520294258974438e-01,8.867379698182018544e-01,5.788255521359964018e-01,9.592078498366531925e-01
8.508046540794569346e-01,8.863432556768556791e-01,9.848615701932803557e-01,5.941590976492584497e-01,1.423807812897331937e-01,4.204350499244730033e-01,8.591438521663330441e-01,9.161192265896273002e-01,8.894194640160930643e-01,5.863797309516979306e-01,9.601736096222314165e-01
8.450405801976736964e-01,8.863432556768556791e-01,9.872442455193504163e-01,6.650736714766265489e-01,1.748571306284865123e-01,4.160221020612789866e-01,8.603904682726205566e-01,9.287811763795317255e-01,8.906925392033273603e-01,5.872026272644690348e-01,9.606321169801124160e-01
8.391925976424894351e-01,8.863432556768556791e-01,9.868297873835507605e-01,5.581348923749969160e-01,1.223274626452437452e-01,4.140241760741021348e-01,8.682091235516704586e-01,9.597717136859411635e-01,8.986771432711666563e-01,5.811800545302514553e-01,9.635078306469728737e-01
8.332992676994346315e-01,8.863432556768556791e-01,9.860699842043521013e-01,6.118563443258344670e-01,1.497991502815410048e-01,4.073300160002063519e-01,8.644794860559473770e-01,9.613272471583197420e-01,8.948683452544909933e-01,5.767315266244363858e-01,9.621360641300854555e-01
8.273586806113477632e-01,8.863432556768556791e-01,9.856265801952244221e-01,5.614406186297253853e-01,1.253123143195618017e-01,4.017825980542883979e-01,8.709276551280878964e-01,9.668898798153845453e-01,9.014533749259594497e-01,5.932077281918441969e-01,9.645077108218980122e-01
8.288899321472329440e-01,8.863432556768556791e-01,9.863160354237301419e-01,5.807189455945935830e-01,1.340932870307107727e-01,3.987663226344850820e-01,8.632829485507960143e-01,9.772550832358373185e-01,8.936464115728061097e-01,5.790199706522861645e-01,9.616959757601971637e-01
8.304180252509327786e-01,8.863432556768556791e-01,9.870466200708092330e-01,5.582729552702883069e-01,1.221539979103712925e-01,3.957414177016936874e-01,8.518460415005184583e-01,9.801937873125543543e-01,8.819667593438819120e-01,5.675428884584016176e-01,9.574894634205083355e-01
8.477902533377723593e-01,8.863432556768556791e-01,9.880545518401264715e-01,4.689999746807816949e-01,7.678758234271432226e-02,3.857910561715881537e-01,8.894798095268341420e-01,8.311457351387445680e-01,9.203992936539956427e-01,6.053716860730975480e-01,9.713312222890341241e-01
8.426800707240571509e-01,8.863432556768556791e-01,9.866668826925935054e-01,4.586768391143067891e-01,7.322403686354161945e-02,3.864171991074296653e-01,8.749517664181465371e-01,8.086403193378399745e-01,9.055628968615453411e-01,5.868896006945478749e-01,9.659877852619103145e-01
