# nel,B,Pinput,Prad,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
8.634328169006136866e-01,8.863432556768556791e-01,9.292969468664578070e-01,6.059658886054128946e-01,1.458556660146195227e-01,4.308785588616718121e-01,8.413422948497342180e-01,8.805775096206645003e-01,8.781595056806580368e-01,5.608251291038267583e-01,9.562207312485175859e-01,9.238628658243701608e-01,7.494593818198744817e-01
8.533507333595647948e-01,8.863432556768556791e-01,9.278771174871730532e-01,6.857245732257444271e-01,1.870662108358240872e-01,4.296029383677694158e-01,8.407346633172898542e-01,8.944949932132837400e-01,8.775323098038729785e-01,5.642171622088160143e-01,9.559953695819961572e-01,9.238880281840624598e-01,7.506556957875080149e-01
8.473287390544362863e-01,8.863432556768556791e-01,9.273249156425263928e-01,6.086186980337462415e-01,1.495133030731687906e-01,4.278133708599246576e-01,8.493963151865500105e-01,9.083533351523165322e-01,8.864728470348719469e-01,5.766217036547233166e-01,9.592078498366531925e-01,9.236306046250390978e-01,7.516402795708290174e-01
8.412616114526715316e-01,8.863432556768556791e-01,9.272964567193339169e-01,5.941590976492584497e-01,1.423807812897331937e-01,4.257356011610937685e-01,8.520002456044515338e-01,9.171152416562804444e-01,8.891606180512529045e-01,5.841038690111366449e-01,9.601736096222314165e-01,9.234185819654263661e-01,7.537819386835538094e-01
8.351288477674737587e-01,8.863432556768556791e-01,9.295398647821988547e-01,6.650736714766265489e-01,1.748571306284865123e-01,4.214504279363958661e-01,8.532364963511143152e-01,9.296268412258519298e-01,8.904366732419048969e-01,5.849189207108049793e-01,9.606321169801124160e-01,9.230933701896515409e-01,7.542752313105614004e-01
8.289068083242513429e-01,8.863432556768556791e-01,9.291496317053715703e-01,5.581348923749969160e-01,1.223274626452437452e-01,4.195103508698652117e-01,8.609901411001864568e-01,9.602493914378904538e-01,8.984399676020764502e-01,5.789537607420230936e-01,9.635078306469728737e-01,9.233400839255374581e-01,7.559453433758112073e-01
8.226365209197336048e-01,8.863432556768556791e-01,9.284342389870459122e-01,6.118563443258344670e-01,1.497991502815410048e-01,4.130100167621927332e-01,8.572915147824177184e-01,9.617864542320412324e-01,8.946222539838553089e-01,5.745476403421797551e-01,9.621360641300854555e-01,9.235105995424184311e-01,7.562200700470695924e-01
8.163159536421847884e-01,8.863432556768556791e-01,9.280167519218549543e-01,5.614406186297253853e-01,1.253123143195618017e-01,4.076232214532514719e-01,8.636860686389226105e-01,9.672830352099018869e-01,9.012226978359809682e-01,5.908667754302593389e-01,9.645077108218980122e-01,9.232867898734886669e-01,7.569793512215654552e-01
8.179451492432089355e-01,8.863432556768556791e-01,9.286659085239695743e-01,5.807189455945935830e-01,1.340932870307107727e-01,4.046942807388010932e-01,8.561049262434978768e-01,9.775251603806442979e-01,8.933974600103480324e-01,5.768142687928697887e-01,9.616959757601971637e-01,9.233590017264243777e-01,7.579999063616411625e-01
8.195709843879647183e-01,8.863432556768556791e-01,9.293537905320340409e-01,5.582729552702883069e-01,1.221539979103712925e-01,4.017569603744782780e-01,8.447631147514856886e-01,9.804289697679369198e-01,8.816904681522268472e-01,5.654465968223172379e-01,9.574894634205083355e-01,9.235468285786354592e-01,7.588567258525122927e-01
