# nel,B,Pinput,Prad/Pinput,beta,D/(H+D),CIII,CIV,OV,OVI,FeXVI,RMP_LID,SDLloop_dPhi,SDLloop_dTheta
6.562652582834997972e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.012851529954643670e-01,3.886670827197642453e-01,9.667392554384273140e-01,4.931577526282572843e-01,3.764269010933729565e-01,8.876476219035762671e-01,7.751417497467179007e-01,4.972450764403237855e-01,0.000000000000000000e+00,2.431495304812081315e-01,8.655967176885722703e-01
7.092555194554497344e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.008613496328022441e-01,3.806848490750143199e-01,9.530174057240619057e-01,4.555105896701014956e-01,3.372225836586810743e-01,8.243720358131856329e-01,7.009381831742287350e-01,4.661723578401963941e-01,0.000000000000000000e+00,2.464748010061690309e-01,8.707053180465884612e-01
6.941771901360366259e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.224000503308835253e-01,3.773112198389920735e-01,9.392807137639040960e-01,4.459290460534531819e-01,3.448923087102206964e-01,8.449422869438119044e-01,7.367639316537004657e-01,4.836684419509491573e-01,0.000000000000000000e+00,2.436476961635527516e-01,8.678261142030779807e-01
6.444048576145543494e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.292125696365312715e-01,3.756072762954616451e-01,9.373279293092964259e-01,4.684029806726447420e-01,3.695185357498604883e-01,9.054746318685975570e-01,8.381458566418245049e-01,4.620919123572582166e-01,0.000000000000000000e+00,2.463030081179908848e-01,8.698010810608005627e-01
5.918439204556625866e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.027918638737966850e-01,3.688371707515152309e-01,9.361167493245989846e-01,4.924970412569478206e-01,3.890063040464770694e-01,9.427325790617102630e-01,9.220032465712957315e-01,4.242049404239549570e-01,0.000000000000000000e+00,2.478487455581337429e-01,8.663616132976977857e-01
5.548030504200150981e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.336912110587202829e-01,3.601961667279214296e-01,9.311497033698943326e-01,5.293897789771135898e-01,4.146441511290949178e-01,9.820167375632116169e-01,9.837982251544199475e-01,5.377955834576066962e-01,0.000000000000000000e+00,2.483341945038368692e-01,8.676970486421217155e-01
5.544970053696473000e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.077193928911316378e-01,3.592715513409352468e-01,9.213916773672297111e-01,5.195527934058248309e-01,4.081130165389583730e-01,9.833324703370622810e-01,9.662518907321864248e-01,4.794317018518450269e-01,0.000000000000000000e+00,2.499319992639463806e-01,8.669054450147845037e-01
5.541908604709693265e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.168546085476550589e-01,3.510370388457157986e-01,9.116261478877158986e-01,5.324787951875362690e-01,4.465741145991108940e-01,9.929934715320720695e-01,9.664487913856840695e-01,4.515788250387702263e-01,0.000000000000000000e+00,2.518421894574238706e-01,8.639457503655336712e-01
5.538802400087395883e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.335968945668317698e-01,3.410578632620087092e-01,9.121722452493079558e-01,5.462154104954298761e-01,4.436365318541348746e-01,9.999999999999997780e-01,9.904489466860020297e-01,5.475818253905160304e-01,0.000000000000000000e+00,2.484999373064553652e-01,8.636480260310239743e-01
6.178283876610242142e-01,0.000000000000000000e+00,5.770980225923333373e-01,6.218561947251131095e-01,3.290931291266083747e-01,9.133857108750320641e-01,4.992190945935202073e-01,3.940764072913360838e-01,9.672521029888434541e-01,8.988498798297039905e-01,4.921402146979727554e-01,0.000000000000000000e+00,2.480678005437120248e-01,8.631795209908278421e-01
9.371259230693258502e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.170832908550153872e-01,9.213987335355131592e-01,1.000000000000000000e+00,7.502011610072278902e-02,9.753220909113302639e-02,6.189796398993252513e-01,7.091555101056594701e-01,6.488658219117322545e-01,0.000000000000000000e+00,8.817159958608868919e-01,6.133140673469360538e-01
1.000000000000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.703666849887049306e-01,9.683780620108590753e-01,9.025514274597061792e-01,4.354683550285454174e-02,7.661591220447316886e-02,5.196312595491745512e-01,4.804224830904861854e-01,7.018215955396120975e-01,0.000000000000000000e+00,9.099570110265418066e-01,6.379941219729247104e-01
9.934902526247180177e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.924862997242986928e-01,9.956204608479675144e-01,8.043493203258078594e-01,5.001911310539330913e-02,2.704248763543803946e-02,3.917153357437069272e-01,4.311534289464544756e-01,7.239759563648500151e-01,0.000000000000000000e+00,9.382811482155979377e-01,6.526337420660957012e-01
9.510985337729880307e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.831531942609099683e-01,1.000000000000000000e+00,8.488050073165900322e-01,6.025483892411154230e-02,4.243060068680537533e-02,4.569186143016475410e-01,4.771767653254048724e-01,7.404766609460780025e-01,0.000000000000000000e+00,9.540441224714584223e-01,6.616717867863843860e-01
9.067037397440160795e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.880482540626092103e-01,9.021719082684462876e-01,7.392289316397027132e-02,8.025429784310245118e-02,4.819399006746294400e-01,4.901321446737985088e-01,7.765152792996512510e-01,0.000000000000000000e+00,9.710326595665428329e-01,6.765308307742546878e-01
8.700157659137166544e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.760015263434890231e-01,9.732070740222535932e-01,9.154635015009415788e-01,7.166703797363738193e-02,9.748051374311317296e-02,5.054721201226711758e-01,4.262843455651337266e-01,7.989178349951413516e-01,0.000000000000000000e+00,9.847857275465159432e-01,6.581067094603837431e-01
8.524637026985695254e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.860207291563454213e-01,9.624186456257222133e-01,8.779198994508718989e-01,5.813706286538522505e-02,6.316088150251730760e-02,4.212089365815605002e-01,3.682162043240990723e-01,7.897919701935309789e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.584501108897161670e-01
3.208238528900524411e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.627359806930462005e-01,1.890026376396747310e-02,4.771291262204462313e-01,7.574298422977276957e-02,3.040830505805094397e-01,3.009320323665142238e-01,1.394325931002178276e-01,7.600420736519519771e-02,0.000000000000000000e+00,1.188188890247907636e-01,7.140857895227015195e-01
3.779309253882355835e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.494362893954471971e-01,1.705679832474338298e-02,5.213196086117064532e-01,4.707249786315348405e-02,2.831292949628652078e-01,2.445559648565599764e-01,5.497687306798004769e-02,6.703750013622675752e-01,0.000000000000000000e+00,1.191606579228121632e-01,7.121212098189463324e-01
3.564478502648467106e-01,0.000000000000000000e+00,5.770980225923333373e-01,5.485537609817208171e-01,1.275975730337197689e-02,5.653568573635205929e-01,5.899947971214614117e-02,2.936005434551021143e-01,2.795585224046752693e-01,9.778195731602612462e-02,5.312825866689760979e-01,0.000000000000000000e+00,1.187691735333658016e-01,7.117186707539229218e-01
