Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0	1.4826751676068404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1360678331885463	0.18333333333333332	0.1	0.5928571428571429	0.4	nan	0.22912878474779197	0.16583123951777	0.18821575403782548	0.48989794855663565	nan
2	0.0	0.0	-3.4060894344201813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9658221334085646	0.2833333333333333	0.0	0.7	0.6	0.38	0.2477678124553084	0.0	0.11770673423150743	0.48989794855663565	0.3208322510804257
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
3	0.0	0.0	0.0	4.644257220371615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4086100319224095	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	2.4352305482691654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3643208296963192	0.4333333333333333	0.0	0.7595238095238096	0.9	0.5633333333333332	0.2494438257849294	0.0	0.11241020603917026	0.30000000000000004	0.24605780711947434
5	0.0	0.0	0.0	0.0	0.0	1.6814601924153295e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0000000550897143	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	2.5063285814216454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.353715636090121	0.7166666666666666	0.025	0.8690476190476192	0.95	0.7933333333333332	0.24776781245530843	0.07500000000000001	0.12428936320131609	0.15	0.19367785395111933
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.296227416262166	0.0	0.0	0.0	0.0	0.0	0.0	-1.928414257489629	0.7166666666666666	0.0	0.8857142857142858	1.0	0.8099999999999999	0.24776781245530843	0.0	0.10583862271853747	0.0	0.17387735140993302
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2055181270943702	0.0	0.0	0.0	0.0	0.0	-1.2052653427235782	0.0	0.175	0.4738095238095238	0.0	nan	0.0	0.22500000000000003	0.10724862504338294	0.0	nan
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.733993448628657	0.0	0.0	0.0	0.0	-1.6575422504773996	0.5833333333333333	0.25	0.6833333333333333	0.61	nan	0.3593976442141304	0.19364916731037085	0.1746554755723172	0.36325687268867407	nan
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.569919883270171	0.0	0.0	0.0	-3.2958687261723596	0.9333333333333332	0.05	0.9380952380952381	0.9416666666666667	0.9257142857142858	0.13333333333333336	0.10000000000000002	0.0761904761904762	0.11814539065631523	0.09231711097944863
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.703075135110754	-1.611628925928547	1.0	0.5416666666666667	0.6857142857142857	0.585	0.7309523809523809	0.0	0.23935677693908453	0.13119026013291343	0.1205197079319395	0.09511897312113415
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.174561881788775e-08	0.0	-0.9999999808070015	0.0	0.0	0.5857142857142856	0.0	0.0	0.0	0.0	0.05947617141331806	0.0	0.0
