# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI
7.154081557919049761e-01,0.000000000000000000e+00,6.539060673134740043e-01,6.663641146277432536e-01,7.418052425422021479e-01,4.988432508459130776e-01,1.764743555515440043e-01,8.868340619367722777e-01,3.255291271057352276e-01,9.520991341977055322e-01
7.203139555475581712e-01,0.000000000000000000e+00,6.461158487429661257e-01,6.235576721540945222e-01,7.405331135223407468e-01,4.338778860832905315e-01,0.000000000000000000e+00,8.660974793321369880e-01,2.218319316909187489e-01,9.433217557961952604e-01
7.178394522099689201e-01,0.000000000000000000e+00,6.419593818994906442e-01,6.554053112591858854e-01,7.416516349730459812e-01,4.344509380487404093e-01,3.999449164495993969e-02,8.662803943278691854e-01,2.335406114399274369e-01,9.433991800354473156e-01
7.153597312122903507e-01,0.000000000000000000e+00,6.530212259160557142e-01,5.963761021092550685e-01,7.481412554266522186e-01,5.788452994285369080e-01,4.921581225715117025e-01,9.123702702692484401e-01,4.712342273480807364e-01,9.629080976487922605e-01
7.128747705044322647e-01,0.000000000000000000e+00,6.487480587206941873e-01,5.928713436224575251e-01,7.515738152745983225e-01,5.421235702138651469e-01,5.842238616851972433e-01,9.006488988272888241e-01,4.438001153495461093e-01,9.579466768355220374e-01
7.027267363811204870e-01,0.000000000000000000e+00,6.482562885447176182e-01,5.944094052960930963e-01,7.507144889390637843e-01,5.196283146341993397e-01,5.693813750022936881e-01,8.934685385346223807e-01,4.112793907503951019e-01,9.549073747214974484e-01
6.924882240378156251e-01,0.000000000000000000e+00,6.510125241868192081e-01,5.498185135785402800e-01,7.541058396307447342e-01,4.834236845582718933e-01,5.380300563165517636e-01,8.819122222577424619e-01,3.762503462827064826e-01,9.500158184403273420e-01
6.821597911733470188e-01,0.000000000000000000e+00,6.429045976114213801e-01,5.717878465768593266e-01,7.607798091777866478e-01,4.821003891993336232e-01,5.213900048548306687e-01,8.814898337493238811e-01,3.016469202851272957e-01,9.498370298789946542e-01
6.673221870716177229e-01,0.000000000000000000e+00,6.459131804791700127e-01,5.058921419287274457e-01,7.586027920960929372e-01,4.519039697713549408e-01,5.086654578731230059e-01,8.718513048482630090e-01,3.372847903653743984e-01,9.457572344270867015e-01
6.503718611069397859e-01,0.000000000000000000e+00,6.537858170174157824e-01,4.923143285168636307e-01,7.605992435658550654e-01,5.517369902719571062e-01,6.536683468689653553e-01,9.037174489674456579e-01,4.108106511830040830e-01,9.592455324009584450e-01
4.793744100996706337e-01,0.000000000000000000e+00,6.465066964284384987e-01,3.525500656629352303e-01,5.682511838251744773e-01,6.556304220433570862e-01,5.447684608378093873e-01,9.368796537496191235e-01,6.424405869291227589e-01,9.732824267895471282e-01
