Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5,9	-0.9740592473899206	0.0	0.8057444136716573	-3.4075440161722854	-1.2080851917087716	2.137783430709882	0.0	0.0	0.0	1.701798218480787	-0.7970477670128643	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,6,7	-1.1944309894834215	0.0	0.8042707448073496	-3.5615349760703667	-1.0228235771440195	0.0	-0.5653338197882053	3.3637313328150142	0.0	0.0	-0.6009293908207711	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6	-0.7848266341106046	0.0	0.6732760163617219	-3.394453353378272	0.35795527779092157	2.78913497931246	-1.2378427978438595	0.0	0.0	0.0	-0.22826051993778393	0.8666666666666666	0.0	0.951388888888889	1.0	0.9200000000000002	0.16329931618554522	0.0	0.05965758776365147	0.0	0.0979795897113271
0,1,2,3,4,5,8	-0.5922336176529029	0.0	0.9015790476701339	-3.5529302521172377	0.43116537836508073	2.4023469164389453	0.0	0.0	2.08043955743161	0.0	-1.913511890477028	0.9666666666666666	0.016666666666666666	0.976388888888889	0.975	0.9657142857142859	0.1	0.049999999999999996	0.047324236215002285	0.075	0.06975174637562116
0,1,2,3,4,8,9	-1.1966850733356833	0.0	0.843928579591104	-3.7816833572726503	-0.4830681482803582	0.0	0.0	0.0	1.9504553176153223	3.1207077339679783	-2.0548320768485158	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,7,8	-1.054548371128931	0.0	0.8590907860745196	-3.6225306261644077	-0.5357822875670399	0.0	0.0	3.114932298069172	1.8719981467849007	0.0	-1.971215409169829	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,7,9	-1.2950013966489622	0.0	0.8390385493680288	-3.6992996489737378	-1.4163694881836197	0.0	0.0	2.081331611593659	0.0	1.570580969171202	-0.8242599327582303	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5,6,8	-0.1887215331662032	0.0	0.9661461844504797	-3.102976707655313	0.0	2.9723251779345308	-0.9462563459088645	0.0	1.8369152571024867	0.0	-1.7688573320445582	0.9666666666666666	0.016666666666666666	0.976388888888889	0.975	0.9657142857142859	0.1	0.049999999999999996	0.047324236215002285	0.075	0.06975174637562116
0,1,2,3,5,6,9	-1.5790318363723528	0.0	0.49119962869386685	-3.276195512486617	0.0	2.4617467095866146	-0.9226867971152466	0.0	0.0	1.435114020932231	-0.5442407713646181	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5,7,8	-1.1274524919433835	0.0	0.6434287490231456	-3.342873689044276	0.0	1.819643918201455	0.0	1.7923035896662352	1.891265056764502	0.0	-2.1457138755617935	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5,7,9	-1.6907499218743447	0.0	0.38351964064944105	-3.4550517366265687	0.0	1.9153622580192162	0.0	1.0264745381849694	0.0	0.7311848050102788	-0.7242103536016936	1.0	0.016666666666666666	0.9888888888888889	0.975	0.9857142857142858	0.0	0.049999999999999996	0.03333333333333335	0.075	0.04285714285714287
0,1,2,3,6,7,8	-1.1383369820817377	0.0	0.7135564338967753	-3.370323991995491	0.0	0.0	-0.9114390537756295	3.270992616602496	2.1453167384949214	0.0	-2.059267626256005	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5,6,7	-1.5890287801054988	0.0	0.4882694978064178	-3.264947293999269	0.0	2.2730834206830943	-0.9566069786590055	1.6502690269631812	0.0	0.0	-0.5356223261658475	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,5,8,9	-1.1526510785394806	0.0	0.6479987255058476	-3.396256923633041	0.0	1.9652825883932934	0.0	0.0	1.9054988851075265	1.7111894770643665	-2.2168957630341604	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,6,8,9	-1.25679022869343	0.0	0.7383423820185184	-3.610390989246791	0.0	0.0	-0.7969223739497568	0.0	2.2128439183843738	3.2665545517771326	-2.168987957894837	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,6,7,9	-1.9745419882858601	0.0	0.49053163445509257	-3.811388954038589	0.0	0.0	-0.7311922412068868	2.0181082316400096	0.0	1.4460201339563525	-0.5488540917357003	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,5,6,8	-1.3317133677813116	0.0	2.5329519919293504	0.0	0.38575335884387146	3.369397688004271	-1.74710722887207	0.0	2.6745831265836353	0.0	-3.807142708374181	1.0	0.10333333333333332	0.9319444444444445	0.85	0.9142857142857143	0.0	0.08491826135237998	0.05571158644480997	0.12247448713915891	0.06998542122237654
0,1,2,4,5,6,9	-1.8931738498714588	0.0	2.43008011722329	0.0	-1.2529152630057971	2.975820866665672	-1.4058924275302767	0.0	0.0	2.4264162785265477	-3.1646135955103127	1.0	0.05	0.9666666666666666	0.9349999999999999	0.9607142857142857	0.0	0.10671873729054748	0.07114582486036498	0.13425721582097552	0.08214285714285718
0,1,2,3,7,8,9	-1.4563989808366329	0.0	0.707381464734065	-3.692570881312128	0.0	0.0	0.0	1.8656654235933412	2.0976259143623075	1.3853266905135477	-2.229756754214086	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7	-0.92301304466436	0.0	0.801814165854229	-3.3930758007507906	-1.212614431093223	1.968854534354603	0.0	1.9140409683867474	0.0	0.0	-0.8380910840770532	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,6,8	-0.37148124895435874	0.0	1.0701813848691106	-3.5527662200669865	1.2043925928322365	0.0	0.5972728672216987	0.0	1.9489824634932578	0.0	-1.5548067761066684	0.6666666666666667	0.03666666666666667	0.8597222222222222	0.7416666666666667	0.6823809523809523	0.3944053188733077	0.07371114795831994	0.1383949550390003	0.3881043674065006	0.3758591066173745
0,1,2,4,5,6,7	-1.7573159020648277	0.0	2.4366115711052503	0.0	-1.2028177596713472	2.845901854553675	-1.4653856471489695	2.6394167292425808	0.0	0.0	-3.2741416972059794	1.0	0.05	0.9666666666666666	0.9349999999999999	0.9607142857142857	0.0	0.10671873729054748	0.07114582486036498	0.13425721582097552	0.08214285714285718
0,1,2,4,5,7,8	-1.4274007540233158	0.0	2.1185026312039064	0.0	-0.933342621986166	1.9078811852272177	0.0	2.924988889631199	2.2111065977441804	0.0	-4.9358415256721795	0.9666666666666666	0.0	0.9888888888888889	1.0	0.9800000000000001	0.1	0.0	0.03333333333333335	0.0	0.05999999999999999
0,1,2,4,5,7,9	-1.7941600479251167	0.0	2.034689303203776	0.0	-1.4825315960672782	2.641636269627141	0.0	1.9048456449558155	0.0	1.548072943392276	-4.216868890694424	0.9666666666666666	0.016666666666666666	0.9777777777777779	0.975	0.9657142857142856	0.1	0.049999999999999996	0.04444444444444447	0.075	0.06975174637562116
0,1,2,4,6,8,9	-1.8264838137298463	0.0	2.0133250073613156	0.0	-0.64184667638405	0.0	-0.5844356074317406	0.0	2.9235003051025448	3.284392820892374	-4.233111800821218	0.7	0.0	0.8972222222222221	1.0	0.8	0.23333333333333334	0.0	0.07837075544258824	0.0	0.17320508075688773
0,1,2,3,4,6,9	-1.3623440718759545	0.0	0.7659741855178638	-3.790545420446861	-0.9723462111088846	0.0	-0.5431133140271718	0.0	0.0	3.3392568085893566	-0.5738519166918945	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,4,5,8,9	-1.5726493936662314	0.0	2.153229278897239	0.0	-0.9735486809262429	2.0514615716659645	0.0	0.0	2.272129735435679	2.7200164358451455	-4.895586791053574	0.9666666666666666	0.0	0.9888888888888889	1.0	0.9800000000000001	0.1	0.0	0.03333333333333335	0.0	0.05999999999999999
0,1,2,4,7,8,9	-1.8368356334174318	0.0	1.9155437249207359	0.0	-1.1618267616876017	0.0	0.0	2.1913650586127487	2.513412668651184	1.4657717150719822	-4.074174102645847	0.7	0.016666666666666666	0.8861111111111111	0.9666666666666666	0.7866666666666666	0.23333333333333334	0.049999999999999996	0.08624541497922235	0.1	0.1777638883463118
0,1,2,4,6,7,8	-1.74614569828817	0.0	2.073921015090607	0.0	-0.7311668487646051	0.0	-0.7069582061575213	3.4811244662237373	2.8237989768068763	0.0	-4.137599235581454	0.8333333333333333	0.0	0.9444444444444444	1.0	0.89	0.223606797749979	0.0	0.07453559924999299	0.0	0.157797338380595
0,1,2,4,6,7,9	-2.3432831112723993	0.0	1.822106753043806	0.0	-1.6729123516045739	0.0	-0.6377664424720157	2.5235093542072007	0.0	1.6824958296697479	-2.264527988735396	0.7333333333333333	0.1	0.8430555555555556	0.8083333333333332	0.761904761904762	0.24944382578492943	0.1527525231651947	0.17325519071909826	0.25833333333333336	0.24607577690999863
0,1,2,5,6,7,9	-2.243628789908398	0.0	1.9115005133858969	0.0	0.0	3.290765151717089	-1.319365349666319	1.6179511335407089	0.0	1.0448141557931474	-3.8555551808386133	1.0	0.03333333333333333	0.9777777777777779	0.96	0.975	0.0	0.09999999999999999	0.06666666666666667	0.12	0.07500000000000002
0,1,2,5,6,8,9	-1.7247434023696815	0.0	2.1941866716444993	0.0	0.0	2.559913733347412	-2.0085761671211495	0.0	2.583267764384203	1.9348032249929177	-4.108301056529104	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,7	-0.7101396268176394	0.0	0.0	-3.450841362162702	-0.8851597637548609	2.2581165524897973	-0.8768540259846294	1.955659396000994	0.0	0.0	-0.33174973126450397	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,6,7,8,9	-2.270931696549602	0.0	1.927458724722585	0.0	0.0	0.0	-1.0125489643316086	2.2160213855064255	3.0830565906460117	1.4167676222052275	-4.341808778350317	0.8333333333333333	0.0	0.9444444444444444	1.0	0.89	0.223606797749979	0.0	0.07453559924999299	0.0	0.157797338380595
0,1,2,5,7,8,9	-1.8115967773358033	0.0	1.7131831241820314	0.0	0.0	2.4325527624554715	0.0	1.7631620937265289	2.3007443011544244	1.4410510468400992	-5.701751585635252	0.9666666666666666	0.016666666666666666	0.9777777777777779	0.975	0.9657142857142856	0.1	0.049999999999999996	0.04444444444444447	0.075	0.06975174637562116
0,1,2,5,6,7,8	-1.6581603252311574	0.0	2.1909351191724333	0.0	0.0	2.4695762034319633	-1.9884005192039218	2.137506674887348	2.5286135274548855	0.0	-4.166323929591824	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,9	-0.74440435152473	0.0	0.0	-3.494204514495261	-0.8921501533202323	2.4468019615785908	-0.8544674838725035	0.0	0.0	1.7136942358305958	-0.2736177585791987	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,7,9	-0.7829801145777591	0.0	0.0	-3.56445911659032	-1.1599137365405232	2.1243961630340165	0.0	1.2496737039293897	0.0	0.9120111165652727	-0.634268635233094	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,7,8	-0.4871092362869881	0.0	0.0	-3.5995418699377795	-0.5499628318621452	1.842322522138388	0.0	1.943566080583814	1.5797061285402347	0.0	-1.5605584248462072	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,5,6,8	-0.26644414828783036	0.0	0.0	-3.3990836634201775	0.9156567532744777	2.7627969303958806	-1.121278795130506	0.0	1.9321062569382288	0.0	-1.353671182634503	0.9666666666666666	0.0	0.9875	1.0	0.9800000000000001	0.1	0.0	0.0375	0.0	0.05999999999999999
0,1,3,4,5,8,9	-0.5334356064769079	0.0	0.0	-3.6804473759880607	-0.5594825186035483	1.9615564210186727	0.0	0.0	1.6042464767064661	1.782101873314718	-1.5117212745751165	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,7,8	-0.6234945688714185	0.0	0.0	-3.676412149800581	-0.2220048294627477	0.0	-0.86688557248529	3.3434678613535866	1.9743208937375254	0.0	-1.585684360421682	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,7,9	-1.030804568387468	0.0	0.0	-3.994002900276167	-1.104985861801406	0.0	-0.6415108717855602	2.204020212119997	0.0	1.6827533738688227	-0.3611434358739503	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,7,8,9	-0.7714954934687632	0.0	0.0	-3.998919349050815	-0.5790840172174969	0.0	0.0	1.9839287069163785	1.8699206607291454	1.5204481498870748	-1.7318533181521751	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,6,7,9	-1.4098166380946104	0.0	0.0	-3.388587429246185	0.0	2.3184741055748255	-0.9877269196681633	1.1052527433414905	0.0	0.7015271551965891	-0.40956814322801227	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,6,7,8	-0.5841531807440378	0.0	0.0	-3.0634744766257858	0.0	2.129525173024662	-1.1971145042462645	1.8470291092845692	1.8780399444776137	0.0	-1.6601691685143638	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,4,6,8,9	-0.7621378204531182	0.0	0.0	-3.898104267925883	-0.15172170339600866	0.0	-0.7841553492041216	0.0	2.010151522863288	3.338744482458112	-1.666477909578924	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,6,8,9	-0.6026300911583253	0.0	0.0	-3.056526481459831	0.0	2.3514237730362404	-1.139883739749076	0.0	1.9233035483365235	1.577606583284126	-1.6705755216235212	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,3,5,7,8,9	-0.9710631516456374	0.0	0.0	-3.5424347628375763	0.0	1.7362930132974175	0.0	1.1991071769085728	1.8087263267214309	0.9570181655674614	-1.93880097946465	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,6,7,8	-0.5432950050878762	0.0	0.0	0.0	-0.2231559548501269	2.3237668729560603	-1.7317986060111337	2.5337506645080055	2.4354957813688705	0.0	-3.4603301949818666	0.9	0.05	0.9333333333333332	0.9349999999999999	0.8907142857142857	0.21343747458109497	0.10671873729054748	0.0888888888888889	0.13425721582097552	0.15920882192765526
0,1,4,5,6,8,9	-0.6311535261945317	0.0	0.0	0.0	-0.24741047244412923	2.454209701688516	-1.6852618903366803	0.0	2.4075410031583564	2.4532243150697477	-3.508484782178571	0.8666666666666666	0.06666666666666667	0.9111111111111111	0.9099999999999999	0.8564285714285715	0.22110831935702666	0.11055415967851333	0.08314794192830981	0.14282856857085702	0.15072782606745314
0,1,3,6,7,8,9	-0.9124059691325682	0.0	0.0	-3.6063183608536162	0.0	0.0	-1.1581488093224388	2.083961259714285	2.146129753603133	1.6427814889455128	-1.9184759142155325	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,7,8,9	-0.8396734230481488	0.0	0.0	0.0	-0.5972594910874925	2.20555681248827	0.0	1.943358854400153	2.0980399199094184	1.6743434900858483	-4.7838999449796695	0.6666666666666667	0.016666666666666666	0.875	0.95	0.76	0.25819888974716115	0.049999999999999996	0.10467468711898208	0.15	0.21071307505705478
0,2,3,4,5,7,8	-0.7569086275329547	0.0	0.8869744868359218	-3.3227137133640623	-0.8208775259101995	1.8486003002995723	0.0	1.9490228578893642	1.7061038707578444	0.0	-2.05916809698704	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,4,5,6,7,9	-1.0515887820873877	0.0	0.0	0.0	-0.7791269406090028	2.6196403367006176	-1.2565699912782726	1.8025925246626369	0.0	1.3780195984704398	-2.5806937402864687	0.8999999999999998	0.09999999999999999	0.898611111111111	0.875	0.8707142857142858	0.1527525231651947	0.16996731711975951	0.13580606406577372	0.2064582282206258	0.1567674086287174
