Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5,6,7,10	0.8650865201749708	0.0	-0.2700294597427843	0.8732255771115455	3.0450347053149796	0.04189047032988896	0.2855952841709039	-0.4992096473975393	0.0	0.0	0.03855008883956304	0.0	-2.5306251628272256	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,8,10	0.543148656608906	0.0	-0.6707603280607181	1.0446123328481849	2.528121161503729	0.10010196178322132	0.0	-0.389852802321286	-1.033006329235733	0.0	0.09115849176702714	0.0	-1.5492448578773406	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,8,11	0.5070281675618585	0.0	-0.6348301414172244	0.9952558505466541	2.485913712467611	-0.0590052224806343	0.0	-0.14196525659166234	-1.033269335861219	0.0	0.0	-0.47139395488431796	-1.1208837651815906	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,9,10	0.8337766833431484	0.0	-0.4045714492233582	0.9701919748273596	3.135536893247034	0.028715377001260246	0.0	-0.41022353775516673	0.0	-0.13968745571099112	0.1442484432161491	0.0	-2.4440148964776496	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,9,11	0.6055052695461253	0.0	-0.45676305988611465	1.0266059625887076	3.086248403089497	0.004202739621386685	0.0	-0.1170429541981263	0.0	-0.006458550710894355	0.0	-0.5570977854727602	-2.0249161554578246	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,8,9	0.5518705207005812	0.0	-0.6761251976645406	1.0432016216152726	2.5098995588094377	0.004996054827531372	0.0	-0.19259374297085596	-1.0369116419146418	-0.13174410406684883	0.0	0.0	-1.467153963954729	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,9,11	0.6613812540310897	0.0	-0.17931903419956657	0.7776254277290985	2.9257989689181922	-0.03560486925109969	0.4793526910972198	0.0	0.0	-0.23772686219248157	0.0	-0.8535895523434002	-1.778763116925394	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,7,10,11	0.5700280584507305	0.0	-0.4219990023330175	1.0041942043420984	3.087412116048127	0.03244757608927669	0.0	-0.2529111622012016	0.0	0.0	0.10149705852368263	-0.5611226702401251	-1.9906178635619671	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,7,8	0.5880344628943984	0.0	-0.3777003765320811	0.7870488922326252	2.241326106877634	0.148757095541217	0.6863602063852826	-0.48747727276698705	-1.0903762761483784	0.0	0.0	0.0	-1.538426523667251	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,8,9,10	0.5490175480171822	0.0	-0.6911588674076548	1.0605292121472885	2.5295623455623804	0.09318994753952256	0.0	0.0	-1.0357991316312518	-0.3595155483904272	0.08879639597192616	0.0	-1.5487138895023675	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,7,11	0.6518324885264105	0.0	-0.13091679559566463	0.7478748950496742	2.931244670876467	-0.05905525073830906	0.506452826546352	-0.2979368150851488	0.0	0.0	0.0	-0.7935524875009039	-1.8019791713185043	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,8,10	0.6514174914479273	0.0	-0.5431056946602772	0.9169370829051913	2.246693710498697	0.12382635443310315	0.6669009211507617	0.0	-1.1154659068106487	0.0	-0.3207977883088251	0.0	-1.691090783648678	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,7,9	0.8779566843361609	0.0	-0.26426646661719533	0.8692227864075954	3.0417232952297026	0.00874969359781409	0.3023942292803303	-0.3906860360369872	0.0	-0.08939382877065004	0.0	0.0	-2.507498355828036	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,9,10	0.8858914897382932	0.0	-0.35188437996624955	0.9318529369461521	3.0439723186449386	0.016487328372521072	0.2678939784328066	0.0	0.0	-0.31553725704598773	-0.0957708441766434	0.0	-2.5426934132225987	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,8,9,11	0.5088463058584604	0.0	-0.6456686570050554	1.004135544890514	2.4880574568065517	-0.05293867779244893	0.0	0.0	-1.0351962236640975	-0.11793593647181248	0.0	-0.48281759003615415	-1.1271364521207976	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,8,9	0.6201700259274836	0.0	-0.42607749480011436	0.8270544833404945	2.2417697468278543	0.13385510920486254	0.6439463355941808	0.0	-1.1221500952243235	-0.44636116079808213	0.0	0.0	-1.518941200655383	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,8,10,11	0.4774535174582919	0.0	-0.6925548554883464	1.0183765186721412	2.5083249380023975	-0.03941181279975524	0.0	0.0	-1.0043091295285764	0.0	-0.060669479456963236	-0.511048411293608	-1.155340433540116	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2,3,4,5,6,8,11	0.4705926761292897	0.0	-0.4859613703067753	0.8277233584081609	2.2646882742190377	0.20281231402108083	0.5751837280867249	0.0	-1.0173883805237887	0.0	0.0	-0.6981631299587601	-1.237445069626792	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
