# nel,B,Pinput,Prad/Pinput,beta,CIII,CIV,OV,OVI,FeXVI,SDLloop_dPhi,SDLloop_dTheta
3.925012813681210133e-01,0.000000000000000000e+00,3.946117162804583245e-01,6.185153097060287486e-01,5.713874972382981809e-01,2.464560653571915005e-01,5.474434226603434039e-01,8.859344365101275987e-01,3.092256655916385544e-01,9.539150479708508046e-01,9.835695880986161654e-01,8.789145556125728120e-01
3.936602971966318698e-01,0.000000000000000000e+00,4.048959561077314362e-01,6.832008530897624166e-01,5.621172017831752576e-01,2.888407307386475775e-01,7.850852869546424140e-01,8.943378255909456565e-01,3.501324479304916970e-01,9.573101987141876545e-01,9.804073884038757569e-01,8.836307757885735192e-01
3.948185576623330917e-01,0.000000000000000000e+00,3.938496375351734358e-01,7.746190469270943790e-01,5.442698880266307881e-01,2.928731115854709688e-01,9.021796951442566659e-01,8.951373049515334301e-01,2.936974354219965555e-01,9.576332056485659106e-01,9.801797713123665545e-01,8.851190405774405079e-01
3.959760637491673840e-01,0.000000000000000000e+00,3.855762265518589693e-01,7.730103129010603702e-01,5.358573903167958008e-01,2.116725895053152007e-01,4.549094043269185095e-01,8.790380960875737726e-01,6.692733346375412395e-02,9.511287774451431254e-01,9.808294588999704189e-01,8.830973234995674881e-01
3.788645687175677956e-01,0.000000000000000000e+00,4.029619908383588189e-01,6.600730568528210274e-01,5.090715900218927281e-01,2.724402389791883428e-01,9.546894997133892335e-01,8.910861846464878111e-01,2.117684918372382263e-01,9.559964655211310447e-01,9.721612542486770536e-01,8.926878835283318381e-01
3.536192656601668816e-01,0.000000000000000000e+00,3.949545303306618571e-01,6.696468230846641667e-01,4.814266211080600044e-01,2.983522143868653775e-01,9.239874985463187862e-01,8.962236184151302076e-01,2.714256330330711009e-01,9.580720997575922215e-01,9.722267379964231182e-01,8.936432346345324351e-01
3.280101798930932233e-01,0.000000000000000000e+00,3.952619106325450105e-01,6.620987163504221673e-01,4.581616101214511794e-01,3.552493851195990815e-01,8.389819570970535878e-01,9.075043271092250174e-01,3.434194004208450668e-01,9.626297497889999555e-01,9.683177257825317241e-01,8.930256179674317396e-01
3.075173180502375203e-01,0.000000000000000000e+00,3.970940551714927658e-01,6.818511096176018693e-01,4.446609119402031851e-01,2.633274538377455842e-01,5.333815634505597592e-01,8.892794397196552847e-01,1.496001613028625776e-01,9.552665015360815026e-01,9.691781942623247659e-01,8.886903991363073185e-01
2.950800767644889966e-01,0.000000000000000000e+00,3.842455518523490987e-01,7.164337253469958977e-01,4.345784943854944515e-01,3.199969111617537165e-01,9.233427545444348183e-01,9.005150008502335046e-01,3.024608071710122026e-01,9.598059109764183194e-01,9.634142150700570895e-01,8.958631095624977059e-01
2.825589789023466025e-01,0.000000000000000000e+00,3.931879602626890957e-01,7.207377100457743602e-01,4.254878266431356693e-01,3.622481851933810337e-01,8.943228162512635304e-01,9.088919431158523077e-01,3.745858523867158230e-01,9.631903766350329299e-01,9.621691442628605984e-01,9.002006133300646251e-01
1.876411125666188617e-01,0.000000000000000000e+00,3.996077123874188786e-01,5.144001363605610333e-01,1.782477798235553301e-01,4.783169885655765285e-01,5.577325192844383439e-01,9.319043063397520754e-01,7.534451007598770289e-01,9.724878685581315185e-01,9.696253905773817294e-01,9.119623872051485503e-01
1.688915784364928285e-01,0.000000000000000000e+00,3.944974281922406512e-01,4.797248912918556929e-01,1.667591744833898382e-01,5.445924557451411463e-01,5.454378942075325254e-01,9.450444015182912771e-01,7.974585979007970948e-01,9.777967509011814551e-01,9.702842362253480957e-01,9.119058119158509612e-01
