Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,4	-3.1751265500088524	0.023140941808101965	0.0	0.0	-7.607858016189871	0.0	0.0	0.0	0.0	0.0	0.0	4.162125136566722	0.7946153846153846	0.19145299145299144	0.801632801161103	0.8052783480609568	0.7978325422342877	0.05172640816618864	0.07474547792393432	0.04139135735380266	0.05861609354177848	0.038450801670215085
0,1,2	-4.357110504834312	-0.135432908664948	2.2822391187702094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0453416239181457	0.6818461538461539	0.4945868945868946	0.5923076923076923	0.5721763726838811	0.6212789244241848	0.06315117580787519	0.07147477596097863	0.04820080159891782	0.0423084913872263	0.045493562077029946
0,1,3	-3.2023502489834863	-0.23717600521691679	0.0	-4.438946306924462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1703954509821655	0.8249230769230771	0.3141025641025641	0.754644412191582	0.7235717589607533	0.7661939028405903	0.10228814156746344	0.11131409977270501	0.06048759404739884	0.06943836228116547	0.060502439395714515
0,1,5	-5.38263518584097	3.2904512320383326	0.0	0.0	0.0	7.25425506794666	0.0	0.0	0.0	0.0	0.0	-2.2162142486817253	0.6896923076923078	0.08988603988603988	0.8017416545718433	0.8817404136260981	0.7713950731807875	0.08677809556462093	0.04473682954052883	0.052504067269122656	0.05518653482522373	0.06824312598022222
0,1,7	-4.049748051674132	0.8278769245843	0.0	0.0	0.0	0.0	0.0	-3.2083194210845107	0.0	0.0	0.0	3.559056001406644	0.5270769230769232	0.23119658119658118	0.6496734397677794	0.6918992408557625	0.5943024016350644	0.08903213966591572	0.0858326829019345	0.06297467470747954	0.08807223314276388	0.079330661774231
0,1,6	-3.1212565888289037	0.7022861670720386	0.0	0.0	0.0	0.0	-2.5081694546087294	0.0	0.0	0.0	0.0	2.594036538640425	0.45353846153846156	0.16054131054131052	0.6495645863570392	0.734671785043302	0.558930021890884	0.06448631798374435	0.06382672529278115	0.05298770159851441	0.09368804274424872	0.07004115241588806
0,1,9	-3.4025044578670838	-0.3913916052663773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1412105561182908	0.0	1.8138417762273626	0.6701538461538461	0.5353276353276353	0.5658200290275761	0.545940262109617	0.6005017094326854	0.09624475702311201	0.060129485849677124	0.057513163090788175	0.04911342369484795	0.06500542853393697
0,2,4	-2.8340138589538926	0.0	-3.6616970937258926	0.0	-9.002803238582366	0.0	0.0	0.0	0.0	0.0	0.0	7.349218675048791	0.8801538461538462	0.22122507122507123	0.8284833091436866	0.7981681484996279	0.8357095926191466	0.03114729275802068	0.0810315962645752	0.04300009787867694	0.05976423323357478	0.03598825493754516
0,2,3	-3.470896180060266	0.0	5.846264753682019	-6.523906059670982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5194554282540526	0.9766153846153847	0.2210826210826211	0.8760522496371553	0.8153165123231538	0.886785359275913	0.031316668529884364	0.08866259821703165	0.04064385462693645	0.060148928321698256	0.032548450442549066
0,1,8	-3.415633270778475	-0.2582120076579557	0.0	0.0	0.0	0.0	0.0	0.0	1.0744504084342126	0.0	0.0	1.7400502687903727	0.5533846153846154	0.45982905982905986	0.5466618287373004	0.5401950259700683	0.5434565250907244	0.10827764006145547	0.11087124375280133	0.08167217558855952	0.0938856751507123	0.08921271296452145
0,1,10	-3.9733509893724572	-0.2615190831143913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1138879135717323	2.867714453855009	0.5344615384615384	0.2911680911680911	0.6230406386066762	0.648128431176117	0.5773908062059606	0.1087730387756867	0.11762483574377536	0.06030637233561475	0.08301156635878255	0.08358794455609209
0,2,5	-5.021364177234721	0.0	0.11726882109624841	0.0	0.0	5.5776760328634065	0.0	0.0	0.0	0.0	0.0	0.8714832467183842	0.6041538461538462	0.11965811965811965	0.7445573294629898	0.8285329321521273	0.6952175872314613	0.1037020082200713	0.05431069307880185	0.06135338059076016	0.07000773745261978	0.0882154585827726
