Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,2,3,4,5,6	-3.9437643146422396	1.8149353551679823	1.1861924769344085	-4.903780379409786	-3.701685444276085	2.9425185661390527	0.5420880701946598	0.0	0.0	0.0	0.0	0.0	0.0	2.016501200700303	0.9640000000000001	0.21415384615384614	0.873529411764706	0.8150051902172313	0.8827458126117509	0.03322649545167228	0.05376609432912422	0.03454821837000179	0.03824214225898465	0.030084148092042247
0,1,2,3,4,5,8	-3.775421051845067	2.0663299228296146	0.9603101261263728	-5.1131703457839635	-3.54578284377806	2.930786626219802	0.0	0.0	0.9385230827734009	0.0	0.0	0.0	0.0	1.772548569916146	0.968	0.18307692307692308	0.8913333333333334	0.8373622072732194	0.8975656768109598	0.034871191548325374	0.03149903727278702	0.022000279610959492	0.021743061419311347	0.02090332029410736
0,1,2,3,4,5,7	-4.343255829741059	1.968228279649973	1.6136766385525092	-4.491977590138936	-3.989278657633682	2.2572960756288216	0.0	-0.44456224157429025	0.0	0.0	0.0	0.0	0.0	2.66411094058247	0.9640000000000001	0.22215384615384615	0.8695294117647059	0.8097745106261514	0.8795487953879215	0.03322649545167228	0.05649820649611903	0.03350683794627621	0.038200280613731895	0.028514140458240966
0,1,2,3,4,5,9	-1.5502941851759693	1.4248061181953235	0.028280130894993705	-5.753355597481085	-2.7950206534093525	3.8179502560614273	0.0	0.0	0.0	2.7860918988522667	0.0	0.0	0.0	0.38577681755311816	0.9800000000000001	0.15569230769230769	0.9110588235294118	0.8597564313081556	0.9157007911724893	0.020000000000000018	0.030326038960821356	0.018226478999429578	0.02363353809140748	0.016497340752871143
0,1,2,3,4,5,10	-3.730316089631697	1.3529277841431875	2.019229895358284	-4.840854371395023	-4.617272152266371	1.4707422823874974	0.0	0.0	0.0	0.0	-1.0058307693512802	0.0	0.0	3.2926544844003773	0.96	0.17123076923076924	0.8933725490196078	0.8457687701208279	0.8983179887896868	0.05059644256269408	0.043470999650926906	0.030705882352941166	0.03211412660609349	0.02991708489523638
0,1,2,3,4,5,11	-4.216806098989041	2.025796407008447	1.3838168535725675	-4.648348417280571	-3.8033973666951306	2.8009355247476235	0.0	0.0	0.0	0.0	0.0	0.8670626972619694	0.0	1.4801352789457936	0.9480000000000001	0.18692307692307694	0.8794901960784314	0.8327660677445161	0.8858370217684429	0.04399999999999999	0.05517159890236812	0.03594692571925863	0.041156375431049365	0.0329154835302696
0,1,2,3,4,6,11	-3.9943580371730505	0.7973014218574666	1.8236850170978651	-5.038584602550115	-4.490212194667523	0.0	-0.32389656353510926	0.0	0.0	0.0	0.0	0.4034007025003021	0.0	4.0958885218047225	0.9400000000000001	0.2066153846153846	0.8656078431372549	0.8168544524780621	0.8734000710018585	0.04472135954999579	0.05400876545119441	0.036339232138111334	0.038956842865375284	0.033090761112273666
0,1,2,3,4,6,12	-3.3604871454482295	1.073717063020732	1.6185778450984967	-4.346221491837626	-3.9248508544301766	0.0	-0.72841529911645	0.0	0.0	0.0	0.0	0.0	4.07167687544915	0.7936079000240274	0.976	0.1750769230769231	0.8992549019607843	0.8445386113906693	0.9051172272870385	0.0265329983228432	0.03126371888216748	0.016129474216018274	0.022185540202369597	0.014857091735674583
0,1,2,3,4,6,7	-4.04733716208079	0.5762455548462071	1.8450740667592922	-4.726913255254545	-4.364824294220744	0.0	1.6704826437243696	-2.483881000812579	0.0	0.0	0.0	0.0	0.0	4.709332279529356	0.9480000000000001	0.18292307692307694	0.8814901960784314	0.8350033068783069	0.8873366620139211	0.04019950248448355	0.04302991941076628	0.029264888165754118	0.03184632405830485	0.02738794821263795
0,1,2,3,4,7,8	-3.5814007507191676	1.2165134411933156	1.4551978690205476	-4.674075006637887	-3.896796003078028	0.0	0.0	-2.252630776607174	2.117464996221439	0.0	0.0	0.0	0.0	3.848395911003989	0.9559999999999998	0.1403076923076923	0.9070980392156862	0.8693234109441006	0.9100295082070886	0.04176122603564219	0.03180413430011705	0.025196772707303486	0.025644304945279188	0.02470037766184087
