Combination	weight0	weight1	weight2	weight3	weight4	weight5	weight6	weight7	weight8	weight9	weight10	weight11	weight12	weight13	bias	TruePositive	FalsePositive	Accuracy	Precision	F1score	TruePositive_std	FalsePositive_std	Accuracy_std	Precision_std	F1score_std
0,1,3	-0.6095456841554011	0.0	0.0	5.080650075418806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4384304840957958	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,2	0.4792412319037263	0.0	-2.66692962162728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5340747860742665	0.2833333333333333	0.0	0.7	0.6	0.38	0.2477678124553084	0.0	0.11770673423150743	0.48989794855663565	0.3208322510804257
0,1,5	2.4836371499784575	0.0	0.0	0.0	0.0	-1.5586149896326895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8591787836808079	0.13333333333333333	0.0	0.6333333333333333	0.3	0.1833333333333333	0.2081665999466133	0.0	0.1177067342315074	0.45825756949558394	0.2833333333333333
0,1,4	0.02512875945621143	0.0	0.0	0.0	2.4076572329614763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3597838785215308	0.4333333333333333	0.0	0.7595238095238096	0.9	0.5633333333333332	0.2494438257849294	0.0	0.11241020603917026	0.30000000000000004	0.24605780711947434
0,1,6	1.051805942619319	0.0	0.0	0.0	0.0	0.0	2.487865407767411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.5406601006767626	0.7166666666666666	0.25	0.730952380952381	0.6933333333333334	0.6730952380952381	0.24776781245530843	0.19364916731037085	0.151728513965284	0.2438350991050213	0.20143490364920194
0,1,7	0.949018464869065	0.0	0.0	0.0	0.0	0.0	0.0	3.4396372875417973	0.0	0.0	0.0	0.0	0.0	0.0	-2.2889358152082075	0.7166666666666666	0.025	0.8714285714285716	0.975	0.7957142857142856	0.24776781245530843	0.07500000000000001	0.09885971186679379	0.075	0.16322223071211672
0,1,8	1.451578373480787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3020910071502656	0.0	0.0	0.0	0.0	0.0	-1.4322021264620706	0.31666666666666665	0.25	0.5452380952380953	0.3	nan	0.3833333333333333	0.19364916731037085	0.14578351918896792	0.339934634239519	nan
0,1,10	1.3454555810212425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.079145917020052	0.0	0.0	0.0	-4.162925713887812	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,1,9	1.6107122333213713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.606531833328275	0.0	0.0	0.0	0.0	-1.9141552909273756	1.0	0.25	0.8452380952380952	0.7516666666666667	0.8454761904761906	0.0	0.19364916731037085	0.1238324154661509	0.18490988796347985	0.12131390477626008
0,2,7	0.7976511882855265	0.0	-3.4775851988756386	0.0	0.0	0.0	0.0	3.51328342226333	0.0	0.0	0.0	0.0	0.0	0.0	-0.29734962915607044	0.9333333333333333	0.0	0.9666666666666666	1.0	0.95	0.2	0.0	0.1	0.0	0.15
0,2,8	0.2555852378640263	0.0	-2.3229826081026226	0.0	0.0	0.0	0.0	0.0	1.05606184850728	0.0	0.0	0.0	0.0	0.0	0.2374741219572119	0.3333333333333333	0.175	0.6047619047619047	0.4333333333333333	nan	0.32489314482696546	0.22500000000000003	0.13850513878332368	0.41633319989322654	nan
0,1,11	1.4826751676068393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.1360678331885463	0.18333333333333332	0.1	0.5928571428571429	0.4	nan	0.22912878474779197	0.16583123951777	0.18821575403782548	0.48989794855663565	nan
0,2,11	0.4792412319037263	0.0	-2.66692962162728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5340747860742665	0.2833333333333333	0.0	0.7	0.6	0.38	0.2477678124553084	0.0	0.11770673423150743	0.48989794855663565	0.3208322510804257
0,2,9	0.16511995086233797	0.0	-1.9300272238605012	0.0	0.0	0.0	0.0	0.0	0.0	2.5644401730188275	0.0	0.0	0.0	0.0	-0.3569192339244581	1.0	0.25	0.8452380952380952	0.7516666666666667	0.8454761904761906	0.0	0.19364916731037085	0.1238324154661509	0.18490988796347985	0.12131390477626008
0,2,10	0.3091192206358963	0.0	-1.6830477208889811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.52123069447345	0.0	0.0	0.0	-2.4244483997164172	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,12	0.42010843668398545	0.0	-2.4392939509057667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.315306731153299	0.0	0.29672426846253996	0.2833333333333333	0.0	0.7	0.6	0.38	0.2477678124553084	0.0	0.11770673423150743	0.48989794855663565	0.3208322510804257
0,2,13	-0.5161229297677157	0.0	-2.0888658449623874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78449977818285	-0.3694287168073742	1.0	0.5416666666666667	0.6857142857142857	0.585	0.7309523809523809	0.0	0.23935677693908453	0.13119026013291343	0.1205197079319395	0.09511897312113415
0,1,12	1.461520006340995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7210726764277069	0.0	-1.3790329119220803	0.21666666666666665	0.0	0.6666666666666667	0.5	0.3	0.2242270674512285	0.0	0.12233554836823934	0.5	0.30550504633038933
0,3,4	-2.0218451056436058	0.0	0.0	3.657759986377692	1.8853175987762196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.4148847728697285	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,7	0.7721926499572316	0.0	0.0	3.806891363106317	0.0	0.0	0.0	1.6915660849129168	0.0	0.0	0.0	0.0	0.0	0.0	-3.8342888857402064	0.9333333333333333	0.0	0.9666666666666666	1.0	0.95	0.2	0.0	0.1	0.0	0.15
0,2,3	-1.244447070991882	0.0	-1.146730818367023	4.6117705919412755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.2946959459747407	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,6	0.5674716414823797	0.0	0.0	3.5436729253018115	0.0	0.0	1.288389480441541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.210066503225041	1.0	0.15	0.9071428571428571	0.8416666666666666	0.9038095238095238	0.0	0.16583123951777	0.1067187372905475	0.17260262647673316	0.10945753688509706
0,3,5	1.0815349229297013	0.0	0.0	4.071719176047038	0.0	-1.9892486806377463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.3117119743110424	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,2,4	-0.8337833678881967	0.0	-1.5154883488186845	0.0	2.174597545443709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23217822175777708	0.39999999999999997	0.0	0.7452380952380953	0.8	0.5133333333333333	0.28087165910587863	0.0	0.12555997022319249	0.4	0.29896116433038217
0,1,13	0.7150713274768379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5529321384902306	-1.7116344194342414	0.9333333333333333	0.5416666666666667	0.6523809523809524	0.5599999999999999	0.6928571428571428	0.2	0.23935677693908453	0.19897697538834455	0.15620499351813308	0.16433746596892757
0,3,8	-0.7472805426644038	0.0	0.0	5.0401694569131985	0.0	0.0	0.0	0.0	-0.3954007693929144	0.0	0.0	0.0	0.0	0.0	-3.092297861218552	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,9	-0.26601170057511714	0.0	0.0	4.273270459462542	0.0	0.0	0.0	0.0	0.0	0.8983336286708627	0.0	0.0	0.0	0.0	-3.3660506349967134	1.0	0.1	0.9357142857142857	0.8916666666666666	0.9323809523809524	0.0	0.16583123951777	0.1086142355043528	0.175	0.11215877957937442
0,3,10	0.10144431609173124	0.0	0.0	3.1286747074392496	0.0	0.0	0.0	0.0	0.0	0.0	2.926327008989106	0.0	0.0	0.0	-4.353704138657014	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,11	-0.6095456841554011	0.0	0.0	5.080650075418806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.4384304840957958	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
0,3,12	-1.2269995301944223	0.0	0.0	4.872190047682486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6294588726498724	0.0	-3.211671791140006	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
