shotNO,time,type,nel,B,Pech,Pnbi-tan,Pinput,Prad,Prad_over_Pinput,Wp,beta,Rax,rax_vmec,a99,D/(H+D),CIII,CIV,OV,OVI,FeXVI,Ip,Isat@7L,SDLloop_dPhi,SDLloop_dPhi_ext,SDLloop_dTheta
114282,3.206,0,0.177876,-2.5385,0.0,0.0,0.0,116.088386,,0.001837,0.002352,3.9,3.8981,0.52856,,8.91397,0.06344,0.11955,0.03174,,1.1179,0.006978,0.000577,0.000576,0.000598
114282,3.216,0,0.482871,-2.5385,0.253235,0.0,0.253235,201.614263,796.153884,0.010728,0.013733,3.9,3.8981,0.543945,,27.9179,0.20018,1.6381,0.06006,,0.95889,0.010252,0.00058,0.000576,0.0
114282,3.226,0,0.787866,-2.5385,0.506471,0.0,0.506471,263.378061,520.026369,0.020493,0.026234,3.9,3.8981,0.559331,,31.5751,0.40916,4.85588,0.20066,,0.95941,0.024799,0.000582,0.000576,0.002607
114282,3.236,0,1.09286,-2.5385,0.759706,0.0,0.759706,293.760452,386.676553,0.027497,0.0352,3.9,3.8981,0.574716,,25.2812,0.3838,6.90178,0.53074,,0.73754,0.046622,0.000581,0.000576,0.007934
114282,3.246,0,1.315279,-2.5385,0.861,0.0,0.861,304.192411,353.301291,0.032795,0.041982,3.9,3.8981,0.580092,,24.8075,0.3135,4.38225,0.52098,,0.57049,0.060053,0.000581,0.000576,0.012784
114282,3.256,0,1.482646,-2.5385,0.861,0.0,0.861,319.040827,370.546837,0.036083,0.046192,3.9,3.8981,0.578795,,32.3905,0.35352,5.39787,0.4194,,0.49759,0.067412,0.00058,0.000576,0.016176
114282,3.266,0,1.650014,-2.5385,0.861,0.0,0.861,312.086784,362.470132,0.039251,0.050247,3.9,3.8981,0.577498,,35.828,0.37206,4.91447,0.45654,,0.36542,0.070273,0.000579,0.000576,0.02033
114282,3.276,0,1.794161,-2.5385,0.852455,0.0,0.852455,324.379035,380.523556,0.0421,0.053894,3.9,3.898736,0.57655,,39.6806,0.35546,5.46135,0.48486,,0.40225,0.072929,0.000578,0.000576,0.024631
114282,3.286,0,1.884129,-2.5385,0.82397,0.0,0.82397,323.414428,392.507672,0.044935,0.057524,3.9,3.900858,0.576417,,43.0302,0.4072,5.12932,0.51122,,0.33333,0.073876,0.000577,0.000576,0.028378
114282,3.296,0,1.974096,-2.5385,0.795485,0.0,0.795485,325.167057,408.76587,0.04799,0.061434,3.9,3.902979,0.576283,,41.0136,0.38376,4.52385,0.5249,,0.080771,0.07503,0.000577,0.000576,0.032762
